src_code,trg_code,src_codingsystem,trg_codingsystem
AM,ARM,country_and_territory_iso2,country_and_territory_iso3
AF,AFG,country_and_territory_iso2,country_and_territory_iso3
AL,ALB,country_and_territory_iso2,country_and_territory_iso3
DZ,DZA,country_and_territory_iso2,country_and_territory_iso3
AS,ASM,country_and_territory_iso2,country_and_territory_iso3
AD,AND,country_and_territory_iso2,country_and_territory_iso3
AO,AGO,country_and_territory_iso2,country_and_territory_iso3
AG,ATG,country_and_territory_iso2,country_and_territory_iso3
AR,ARG,country_and_territory_iso2,country_and_territory_iso3
AU,AUS,country_and_territory_iso2,country_and_territory_iso3
AT,AUT,country_and_territory_iso2,country_and_territory_iso3
BS,BHS,country_and_territory_iso2,country_and_territory_iso3
BH,BHR,country_and_territory_iso2,country_and_territory_iso3
BB,BRB,country_and_territory_iso2,country_and_territory_iso3
NA,NA,country_and_territory_iso2,country_and_territory_iso3
BD,BGD,country_and_territory_iso2,country_and_territory_iso3
BM,BMU,country_and_territory_iso2,country_and_territory_iso3
BT,BTN,country_and_territory_iso2,country_and_territory_iso3
BO,BOL,country_and_territory_iso2,country_and_territory_iso3
BW,BWA,country_and_territory_iso2,country_and_territory_iso3
BR,BRA,country_and_territory_iso2,country_and_territory_iso3
AW,ABW,country_and_territory_iso2,country_and_territory_iso3
BZ,BLZ,country_and_territory_iso2,country_and_territory_iso3
IO,IOT,country_and_territory_iso2,country_and_territory_iso3
SB,SLB,country_and_territory_iso2,country_and_territory_iso3
BN,BRN,country_and_territory_iso2,country_and_territory_iso3
BG,BGR,country_and_territory_iso2,country_and_territory_iso3
MM,MMR,country_and_territory_iso2,country_and_territory_iso3
BI,BDI,country_and_territory_iso2,country_and_territory_iso3
AQ,ATA,country_and_territory_iso2,country_and_territory_iso3
BV,BVT,country_and_territory_iso2,country_and_territory_iso3
CM,CMR,country_and_territory_iso2,country_and_territory_iso3
CA,CAN,country_and_territory_iso2,country_and_territory_iso3
NA,NA,country_and_territory_iso2,country_and_territory_iso3
CV,CPV,country_and_territory_iso2,country_and_territory_iso3
KY,CYM,country_and_territory_iso2,country_and_territory_iso3
CF,CAF,country_and_territory_iso2,country_and_territory_iso3
LK,LKA,country_and_territory_iso2,country_and_territory_iso3
TD,TCD,country_and_territory_iso2,country_and_territory_iso3
CL,CHL,country_and_territory_iso2,country_and_territory_iso3
CN,CHN,country_and_territory_iso2,country_and_territory_iso3
CX,CXR,country_and_territory_iso2,country_and_territory_iso3
CC,CCK,country_and_territory_iso2,country_and_territory_iso3
CO,COL,country_and_territory_iso2,country_and_territory_iso3
KM,COM,country_and_territory_iso2,country_and_territory_iso3
CG,COG,country_and_territory_iso2,country_and_territory_iso3
CK,COK,country_and_territory_iso2,country_and_territory_iso3
CR,CRI,country_and_territory_iso2,country_and_territory_iso3
CU,CUB,country_and_territory_iso2,country_and_territory_iso3
CY,CYP,country_and_territory_iso2,country_and_territory_iso3
NA,CSK,country_and_territory_iso2,country_and_territory_iso3
AZ,AZE,country_and_territory_iso2,country_and_territory_iso3
BJ,BEN,country_and_territory_iso2,country_and_territory_iso3
DK,DNK,country_and_territory_iso2,country_and_territory_iso3
DM,DMA,country_and_territory_iso2,country_and_territory_iso3
DO,DOM,country_and_territory_iso2,country_and_territory_iso3
BY,BLR,country_and_territory_iso2,country_and_territory_iso3
EC,ECU,country_and_territory_iso2,country_and_territory_iso3
EG,EGY,country_and_territory_iso2,country_and_territory_iso3
SV,SLV,country_and_territory_iso2,country_and_territory_iso3
GQ,GNQ,country_and_territory_iso2,country_and_territory_iso3
NA,NA,country_and_territory_iso2,country_and_territory_iso3
EE,EST,country_and_territory_iso2,country_and_territory_iso3
FO,FRO,country_and_territory_iso2,country_and_territory_iso3
FK,FLK,country_and_territory_iso2,country_and_territory_iso3
FJ,FJI,country_and_territory_iso2,country_and_territory_iso3
FI,FIN,country_and_territory_iso2,country_and_territory_iso3
FR,FRA,country_and_territory_iso2,country_and_territory_iso3
GF,GUF,country_and_territory_iso2,country_and_territory_iso3
PF,PYF,country_and_territory_iso2,country_and_territory_iso3
TF,ATF,country_and_territory_iso2,country_and_territory_iso3
DJ,DJI,country_and_territory_iso2,country_and_territory_iso3
GE,GEO,country_and_territory_iso2,country_and_territory_iso3
GA,GAB,country_and_territory_iso2,country_and_territory_iso3
GM,GMB,country_and_territory_iso2,country_and_territory_iso3
NA,NA,country_and_territory_iso2,country_and_territory_iso3
NA,NA,country_and_territory_iso2,country_and_territory_iso3
NA,NA,country_and_territory_iso2,country_and_territory_iso3
DE,DEU,country_and_territory_iso2,country_and_territory_iso3
BA,BIH,country_and_territory_iso2,country_and_territory_iso3
GH,GHA,country_and_territory_iso2,country_and_territory_iso3
GI,GIB,country_and_territory_iso2,country_and_territory_iso3
KI,KIR,country_and_territory_iso2,country_and_territory_iso3
GR,GRC,country_and_territory_iso2,country_and_territory_iso3
GL,GRL,country_and_territory_iso2,country_and_territory_iso3
GD,GRD,country_and_territory_iso2,country_and_territory_iso3
GP,GLP,country_and_territory_iso2,country_and_territory_iso3
GU,GUM,country_and_territory_iso2,country_and_territory_iso3
GT,GTM,country_and_territory_iso2,country_and_territory_iso3
GN,GIN,country_and_territory_iso2,country_and_territory_iso3
GY,GUY,country_and_territory_iso2,country_and_territory_iso3
