src_code,trg_code,src_codingsystem,trg_codingsystem
SSD,014,country_and_territory_iso3,un_georegions
TZA,014,country_and_territory_iso3,un_georegions
SYC,014,country_and_territory_iso3,un_georegions
MWI,014,country_and_territory_iso3,un_georegions
RWA,014,country_and_territory_iso3,un_georegions
MUS,014,country_and_territory_iso3,un_georegions
KEN,014,country_and_territory_iso3,un_georegions
ZWE,014,country_and_territory_iso3,un_georegions
ATF,014,country_and_territory_iso3,un_georegions
MDG,014,country_and_territory_iso3,un_georegions
BDI,014,country_and_territory_iso3,un_georegions
UGA,014,country_and_territory_iso3,un_georegions
IOT,014,country_and_territory_iso3,un_georegions
DJI,014,country_and_territory_iso3,un_georegions
ERI,014,country_and_territory_iso3,un_georegions
COM,014,country_and_territory_iso3,un_georegions
EAZ,014,country_and_territory_iso3,un_georegions
MYT,014,country_and_territory_iso3,un_georegions
REU,014,country_and_territory_iso3,un_georegions
MOZ,014,country_and_territory_iso3,un_georegions
ETH,014,country_and_territory_iso3,un_georegions
ZMB,014,country_and_territory_iso3,un_georegions
SOM,014,country_and_territory_iso3,un_georegions
AGO,017,country_and_territory_iso3,un_georegions
CAF,017,country_and_territory_iso3,un_georegions
GAB,017,country_and_territory_iso3,un_georegions
TCD,017,country_and_territory_iso3,un_georegions
COD,017,country_and_territory_iso3,un_georegions
CMR,017,country_and_territory_iso3,un_georegions
GNQ,017,country_and_territory_iso3,un_georegions
COG,017,country_and_territory_iso3,un_georegions
STP,017,country_and_territory_iso3,un_georegions
KAZ,143,country_and_territory_iso3,un_georegions
UZB,143,country_and_territory_iso3,un_georegions
TJK,143,country_and_territory_iso3,un_georegions
TKM,143,country_and_territory_iso3,un_georegions
KGZ,143,country_and_territory_iso3,un_georegions
EGY,015,country_and_territory_iso3,un_georegions
ESH,015,country_and_territory_iso3,un_georegions
MAR,015,country_and_territory_iso3,un_georegions
TUN,015,country_and_territory_iso3,un_georegions
SDN,015,country_and_territory_iso3,un_georegions
DZA,015,country_and_territory_iso3,un_georegions
LBY,015,country_and_territory_iso3,un_georegions
LSO,018,country_and_territory_iso3,un_georegions
SWZ,018,country_and_territory_iso3,un_georegions
BWA,018,country_and_territory_iso3,un_georegions
ZAF,018,country_and_territory_iso3,un_georegions
NAM,018,country_and_territory_iso3,un_georegions
SLE,011,country_and_territory_iso3,un_georegions
CPV,011,country_and_territory_iso3,un_georegions
GHA,011,country_and_territory_iso3,un_georegions
SHN,011,country_and_territory_iso3,un_georegions
LBR,011,country_and_territory_iso3,un_georegions
BFA,011,country_and_territory_iso3,un_georegions
CIV,011,country_and_territory_iso3,un_georegions
MRT,011,country_and_territory_iso3,un_georegions
SEN,011,country_and_territory_iso3,un_georegions
BEN,011,country_and_territory_iso3,un_georegions
GMB,011,country_and_territory_iso3,un_georegions
NGA,011,country_and_territory_iso3,un_georegions
MLI,011,country_and_territory_iso3,un_georegions
TGO,011,country_and_territory_iso3,un_georegions
GIN,011,country_and_territory_iso3,un_georegions
NER,011,country_and_territory_iso3,un_georegions
GNB,011,country_and_territory_iso3,un_georegions
HKG,030,country_and_territory_iso3,un_georegions
CHN,030,country_and_territory_iso3,un_georegions
MNG,030,country_and_territory_iso3,un_georegions
MAC,030,country_and_territory_iso3,un_georegions
KOR,030,country_and_territory_iso3,un_georegions
PRK,030,country_and_territory_iso3,un_georegions
TWN,030,country_and_territory_iso3,un_georegions
JPN,030,country_and_territory_iso3,un_georegions
IRN,034,country_and_territory_iso3,un_georegions
NPL,034,country_and_territory_iso3,un_georegions
BTN,034,country_and_territory_iso3,un_georegions
AFG,034,country_and_territory_iso3,un_georegions
PAK,034,country_and_territory_iso3,un_georegions
BGD,034,country_and_territory_iso3,un_georegions
MDV,034,country_and_territory_iso3,un_georegions
LKA,034,country_and_territory_iso3,un_georegions
IND,034,country_and_territory_iso3,un_georegions
IDN,035,country_and_territory_iso3,un_georegions
MMR,035,country_and_territory_iso3,un_georegions
SGP,035,country_and_territory_iso3,un_georegions
KHM,035,country_and_territory_iso3,un_georegions
TLS,035,country_and_territory_iso3,un_georegions
PHL,035,country_and_territory_iso3,un_georegions
THA,035,country_and_territory_iso3,un_georegions
BRN,035,country_and_territory_iso3,un_georegions
MYS,035,country_and_territory_iso3,un_georegions
VNM,035,country_and_territory_iso3,un_georegions
LAO,035,country_and_territory_iso3,un_georegions
ARM,145,country_and_territory_iso3,un_georegions
TUR,145,country_and_territory_iso3,un_georegions
IRQ,145,country_and_territory_iso3,un_georegions
SYR,145,country_and_territory_iso3,un_georegions
GEO,145,country_and_territory_iso3,un_georegions
AZE,145,country_and_territory_iso3,un_georegions
LBN,145,country_and_territory_iso3,un_georegions
CYP,145,country_and_territory_iso3,un_georegions
ISR,145,country_and_territory_iso3,un_georegions
SAU,145,country_and_territory_iso3,un_georegions
JOR,145,country_and_territory_iso3,un_georegions
QAT,145,country_and_territory_iso3,un_georegions
BHR,145,country_and_territory_iso3,un_georegions
PSE,145,country_and_territory_iso3,un_georegions
ARE,145,country_and_territory_iso3,un_georegions
OMN,145,country_and_territory_iso3,un_georegions
KWT,145,country_and_territory_iso3,un_georegions
YEM,145,country_and_territory_iso3,un_georegions
CAN,021,country_and_territory_iso3,un_georegions
SPM,021,country_and_territory_iso3,un_georegions
BMU,021,country_and_territory_iso3,un_georegions
USA,021,country_and_territory_iso3,un_georegions
GRL,021,country_and_territory_iso3,un_georegions
VGB,029,country_and_territory_iso3,un_georegions
DOM,029,country_and_territory_iso3,un_georegions
GRD,029,country_and_territory_iso3,un_georegions
BRB,029,country_and_territory_iso3,un_georegions
KNA,029,country_and_territory_iso3,un_georegions
TCA,029,country_and_territory_iso3,un_georegions
AIA,029,country_and_territory_iso3,un_georegions
CUW,029,country_and_territory_iso3,un_georegions
BES,029,country_and_territory_iso3,un_georegions
VIR,029,country_and_territory_iso3,un_georegions
BLM,029,country_and_territory_iso3,un_georegions
CUB,029,country_and_territory_iso3,un_georegions
DMA,029,country_and_territory_iso3,un_georegions
ABW,029,country_and_territory_iso3,un_georegions
MAF,029,country_and_territory_iso3,un_georegions
BHS,029,country_and_territory_iso3,un_georegions
ATG,029,country_and_territory_iso3,un_georegions
ANT,029,country_and_territory_iso3,un_georegions
CYM,029,country_and_territory_iso3,un_georegions
VCT,029,country_and_territory_iso3,un_georegions
MTQ,029,country_and_territory_iso3,un_georegions
SXM,029,country_and_territory_iso3,un_georegions
PRI,029,country_and_territory_iso3,un_georegions
GLP,029,country_and_territory_iso3,un_georegions
LCA,029,country_and_territory_iso3,un_georegions
JAM,029,country_and_territory_iso3,un_georegions
