src_code,trg_code,src_codingsystem,trg_codingsystem
COG,SDG_SSA,country_and_territory_iso3,un_sdg_regions
RWA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
STP,SDG_SSA,country_and_territory_iso3,un_sdg_regions
GHA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
BDI,SDG_SSA,country_and_territory_iso3,un_sdg_regions
COM,SDG_SSA,country_and_territory_iso3,un_sdg_regions
LBR,SDG_SSA,country_and_territory_iso3,un_sdg_regions
ETH,SDG_SSA,country_and_territory_iso3,un_sdg_regions
DJI,SDG_SSA,country_and_territory_iso3,un_sdg_regions
EAZ,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SYC,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MRT,SDG_SSA,country_and_territory_iso3,un_sdg_regions
BWA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
KEN,SDG_SSA,country_and_territory_iso3,un_sdg_regions
AGO,SDG_SSA,country_and_territory_iso3,un_sdg_regions
REU,SDG_SSA,country_and_territory_iso3,un_sdg_regions
ATF,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MDG,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MOZ,SDG_SSA,country_and_territory_iso3,un_sdg_regions
TZA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
CAF,SDG_SSA,country_and_territory_iso3,un_sdg_regions
TGO,SDG_SSA,country_and_territory_iso3,un_sdg_regions
NA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
CIV,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SEN,SDG_SSA,country_and_territory_iso3,un_sdg_regions
ZMB,SDG_SSA,country_and_territory_iso3,un_sdg_regions
BEN,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SLE,SDG_SSA,country_and_territory_iso3,un_sdg_regions
NGA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MLI,SDG_SSA,country_and_territory_iso3,un_sdg_regions
GNQ,SDG_SSA,country_and_territory_iso3,un_sdg_regions
NER,SDG_SSA,country_and_territory_iso3,un_sdg_regions
GMB,SDG_SSA,country_and_territory_iso3,un_sdg_regions
ERI,SDG_SSA,country_and_territory_iso3,un_sdg_regions
LSO,SDG_SSA,country_and_territory_iso3,un_sdg_regions
CPV,SDG_SSA,country_and_territory_iso3,un_sdg_regions
IOT,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SWZ,SDG_SSA,country_and_territory_iso3,un_sdg_regions
GAB,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MUS,SDG_SSA,country_and_territory_iso3,un_sdg_regions
UGA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MWI,SDG_SSA,country_and_territory_iso3,un_sdg_regions
BFA,SDG_SSA,country_and_territory_iso3,un_sdg_regions
ZAF,SDG_SSA,country_and_territory_iso3,un_sdg_regions
NAM,SDG_SSA,country_and_territory_iso3,un_sdg_regions
ZWE,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SSD,SDG_SSA,country_and_territory_iso3,un_sdg_regions
MYT,SDG_SSA,country_and_territory_iso3,un_sdg_regions
COD,SDG_SSA,country_and_territory_iso3,un_sdg_regions
GNB,SDG_SSA,country_and_territory_iso3,un_sdg_regions
TCD,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SHN,SDG_SSA,country_and_territory_iso3,un_sdg_regions
GIN,SDG_SSA,country_and_territory_iso3,un_sdg_regions
CMR,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SOM,SDG_SSA,country_and_territory_iso3,un_sdg_regions
SDN,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
MAR,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
NA,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
ESH,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
EGY,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
LBY,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
TUN,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
DZA,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
ARM,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
IRQ,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
GEO,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
ISR,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
PSE,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
CYP,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
QAT,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
AZE,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
SAU,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
TUR,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
LBN,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
ARE,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
BHR,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
NA,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
JOR,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
YEM,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
NA,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
OMN,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
SYR,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
KWT,SDG_NAWA,country_and_territory_iso3,un_sdg_regions
KAZ,SDG_CSA,country_and_territory_iso3,un_sdg_regions
KGZ,SDG_CSA,country_and_territory_iso3,un_sdg_regions
UZB,SDG_CSA,country_and_territory_iso3,un_sdg_regions
TJK,SDG_CSA,country_and_territory_iso3,un_sdg_regions
TKM,SDG_CSA,country_and_territory_iso3,un_sdg_regions
AFG,SDG_CSA,country_and_territory_iso3,un_sdg_regions
MDV,SDG_CSA,country_and_territory_iso3,un_sdg_regions
LKA,SDG_CSA,country_and_territory_iso3,un_sdg_regions
IND,SDG_CSA,country_and_territory_iso3,un_sdg_regions
NPL,SDG_CSA,country_and_territory_iso3,un_sdg_regions
BGD,SDG_CSA,country_and_territory_iso3,un_sdg_regions
PAK,SDG_CSA,country_and_territory_iso3,un_sdg_regions
IRN,SDG_CSA,country_and_territory_iso3,un_sdg_regions
BTN,SDG_CSA,country_and_territory_iso3,un_sdg_regions
CHN,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
JPN,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
HKG,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
KOR,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
TWN,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
MAC,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
PRK,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
MNG,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
SGP,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
MMR,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
KHM,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
TLS,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
IDN,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
MYS,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
PHL,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
BRN,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
THA,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
VNM,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
LAO,SDG_ESEA,country_and_territory_iso3,un_sdg_regions
DOM,SDG_LAC,country_and_territory_iso3,un_sdg_regions
GRD,SDG_LAC,country_and_territory_iso3,un_sdg_regions
BHS,SDG_LAC,country_and_territory_iso3,un_sdg_regions
VIR,SDG_LAC,country_and_territory_iso3,un_sdg_regions
ANT,SDG_LAC,country_and_territory_iso3,un_sdg_regions
BLM,SDG_LAC,country_and_territory_iso3,un_sdg_regions
ABW,SDG_LAC,country_and_territory_iso3,un_sdg_regions
TCA,SDG_LAC,country_and_territory_iso3,un_sdg_regions
CUW,SDG_LAC,country_and_territory_iso3,un_sdg_regions
TTO,SDG_LAC,country_and_territory_iso3,un_sdg_regions
GLP,SDG_LAC,country_and_territory_iso3,un_sdg_regions
VGB,SDG_LAC,country_and_territory_iso3,un_sdg_regions
JAM,SDG_LAC,country_and_territory_iso3,un_sdg_regions
BRB,SDG_LAC,country_and_territory_iso3,un_sdg_regions
SUR,SDG_LAC,country_and_territory_iso3,un_sdg_regions
CUB,SDG_LAC,country_and_territory_iso3,un_sdg_regions
DMA,SDG_LAC,country_and_territory_iso3,un_sdg_regions
PRI,SDG_LAC,country_and_territory_iso3,un_sdg_regions
HTI,SDG_LAC,country_and_territory_iso3,un_sdg_regions
MSR,SDG_LAC,country_and_territory_iso3,un_sdg_regions
SXM,SDG_LAC,country_and_territory_iso3,un_sdg_regions
AIA,SDG_LAC,country_and_territory_iso3,un_sdg_regions
BES,SDG_LAC,country_and_territory_iso3,un_sdg_regions
LCA,SDG_LAC,country_and_territory_iso3,un_sdg_regions
MAF,SDG_LAC,country_and_territory_iso3,un_sdg_regions
KNA,SDG_LAC,country_and_territory_iso3,un_sdg_regions
ATG,SDG_LAC,country_and_territory_iso3,un_sdg_regions
VCT,SDG_LAC,country_and_territory_iso3,un_sdg_regions
MTQ,SDG_LAC,country_and_territory_iso3,un_sdg_regions
CYM,SDG_LAC,country_and_territory_iso3,un_sdg_regions
PAN,SDG_LAC,country_and_territory_iso3,un_sdg_regions
HND,SDG_LAC,country_and_territory_iso3,un_sdg_regions
NIC,SDG_LAC,country_and_territory_iso3,un_sdg_regions
MEX,SDG_LAC,country_and_territory_iso3,un_sdg_regions
GTM,SDG_LAC,country_and_territory_iso3,un_sdg_regions
SLV,SDG_LAC,country_and_territory_iso3,un_sdg_regions
CRI,SDG_LAC,country_and_territory_iso3,un_sdg_regions
PER,SDG_LAC,country_and_territory_iso3,un_sdg_regions
SGS,SDG_LAC,country_and_territory_iso3,un_sdg_regions
GUF,SDG_LAC,country_and_territory_iso3,un_sdg_regions
BRA,SDG_LAC,country_and_territory_iso3,un_sdg_regions
BOL,SDG_LAC,country_and_territory_iso3,un_sdg_regions
ARG,SDG_LAC,country_and_territory_iso3,un_sdg_regions
PRY,SDG_LAC,country_and_territory_iso3,un_sdg_regions
VEN,SDG_LAC,country_and_territory_iso3,un_sdg_regions
COL,SDG_LAC,country_and_territory_iso3,un_sdg_regions
