src_code,trg_code,src_codingsystem,trg_codingsystem
COG,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
RWA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
STP,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
GHA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
BDI,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
COM,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
LBR,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
ETH,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
DJI,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
EAZ,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SYC,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MRT,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
BWA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
KEN,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
AGO,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
REU,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
ATF,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MDG,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MOZ,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
TZA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
CAF,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
TGO,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
NA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
CIV,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SEN,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
ZMB,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
BEN,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SLE,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
NGA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MLI,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
GNQ,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
NER,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
GMB,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
ERI,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
LSO,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
CPV,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
IOT,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SWZ,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
GAB,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MUS,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
UGA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MWI,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
BFA,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
ZAF,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
NAM,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
ZWE,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SSD,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
MYT,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
COD,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
GNB,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
TCD,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SHN,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
GIN,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
CMR,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SOM,SDG_SUB_SSA,country_and_territory_iso3,un_sdg_subregions
SDN,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
MAR,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
NA,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
ESH,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
EGY,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
LBY,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
TUN,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
DZA,SDG_SUB_NAF,country_and_territory_iso3,un_sdg_subregions
ARM,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
IRQ,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
GEO,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
ISR,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
PSE,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
CYP,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
QAT,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
AZE,SDG_SUB_WAS,country_and_territory_iso3,un_sdg_subregions
