src_code,trg_code,src_codingsystem,trg_codingsystem
051,ARM,cl_country_and_territory_m49,country_and_territory_iso3
004,AFG,country_and_territory_m49,country_and_territory_iso3
008,ALB,country_and_territory_m49,country_and_territory_iso3
012,DZA,country_and_territory_m49,country_and_territory_iso3
016,ASM,country_and_territory_m49,country_and_territory_iso3
020,AND,country_and_territory_m49,country_and_territory_iso3
024,AGO,country_and_territory_m49,country_and_territory_iso3
028,ATG,country_and_territory_m49,country_and_territory_iso3
032,ARG,country_and_territory_m49,country_and_territory_iso3
036,AUS,country_and_territory_m49,country_and_territory_iso3
040,AUT,country_and_territory_m49,country_and_territory_iso3
044,BHS,country_and_territory_m49,country_and_territory_iso3
048,BHR,country_and_territory_m49,country_and_territory_iso3
052,BRB,country_and_territory_m49,country_and_territory_iso3
050,BGD,country_and_territory_m49,country_and_territory_iso3
060,BMU,country_and_territory_m49,country_and_territory_iso3
064,BTN,country_and_territory_m49,country_and_territory_iso3
068,BOL,country_and_territory_m49,country_and_territory_iso3
072,BWA,country_and_territory_m49,country_and_territory_iso3
076,BRA,country_and_territory_m49,country_and_territory_iso3
533,ABW,country_and_territory_m49,country_and_territory_iso3
084,BLZ,country_and_territory_m49,country_and_territory_iso3
086,IOT,country_and_territory_m49,country_and_territory_iso3
090,SLB,country_and_territory_m49,country_and_territory_iso3
096,BRN,country_and_territory_m49,country_and_territory_iso3
100,BGR,country_and_territory_m49,country_and_territory_iso3
104,MMR,country_and_territory_m49,country_and_territory_iso3
108,BDI,country_and_territory_m49,country_and_territory_iso3
010,ATA,country_and_territory_m49,country_and_territory_iso3
074,BVT,country_and_territory_m49,country_and_territory_iso3
120,CMR,country_and_territory_m49,country_and_territory_iso3
124,CAN,country_and_territory_m49,country_and_territory_iso3
132,CPV,country_and_territory_m49,country_and_territory_iso3
136,CYM,country_and_territory_m49,country_and_territory_iso3
140,CAF,country_and_territory_m49,country_and_territory_iso3
144,LKA,country_and_territory_m49,country_and_territory_iso3
148,TCD,country_and_territory_m49,country_and_territory_iso3
152,CHL,country_and_territory_m49,country_and_territory_iso3
156,CHN,country_and_territory_m49,country_and_territory_iso3
162,CXR,country_and_territory_m49,country_and_territory_iso3
166,CCK,country_and_territory_m49,country_and_territory_iso3
170,COL,country_and_territory_m49,country_and_territory_iso3
174,COM,country_and_territory_m49,country_and_territory_iso3
178,COG,country_and_territory_m49,country_and_territory_iso3
184,COK,country_and_territory_m49,country_and_territory_iso3
188,CRI,country_and_territory_m49,country_and_territory_iso3
192,CUB,country_and_territory_m49,country_and_territory_iso3
196,CYP,country_and_territory_m49,country_and_territory_iso3
200,CSK,country_and_territory_m49,country_and_territory_iso3
031,AZE,country_and_territory_m49,country_and_territory_iso3
204,BEN,country_and_territory_m49,country_and_territory_iso3
208,DNK,country_and_territory_m49,country_and_territory_iso3
212,DMA,country_and_territory_m49,country_and_territory_iso3
214,DOM,country_and_territory_m49,country_and_territory_iso3
112,BLR,country_and_territory_m49,country_and_territory_iso3
218,ECU,country_and_territory_m49,country_and_territory_iso3
818,EGY,country_and_territory_m49,country_and_territory_iso3
222,SLV,country_and_territory_m49,country_and_territory_iso3
226,GNQ,country_and_territory_m49,country_and_territory_iso3
233,EST,country_and_territory_m49,country_and_territory_iso3
234,FRO,country_and_territory_m49,country_and_territory_iso3
238,FLK,country_and_territory_m49,country_and_territory_iso3
242,FJI,country_and_territory_m49,country_and_territory_iso3
246,FIN,country_and_territory_m49,country_and_territory_iso3
250,FRA,country_and_territory_m49,country_and_territory_iso3
254,GUF,country_and_territory_m49,country_and_territory_iso3
258,PYF,country_and_territory_m49,country_and_territory_iso3
260,ATF,country_and_territory_m49,country_and_territory_iso3
262,DJI,country_and_territory_m49,country_and_territory_iso3
268,GEO,country_and_territory_m49,country_and_territory_iso3
266,GAB,country_and_territory_m49,country_and_territory_iso3
270,GMB,country_and_territory_m49,country_and_territory_iso3
276,DEU,country_and_territory_m49,country_and_territory_iso3
070,BIH,country_and_territory_m49,country_and_territory_iso3
288,GHA,country_and_territory_m49,country_and_territory_iso3
292,GIB,country_and_territory_m49,country_and_territory_iso3
296,KIR,country_and_territory_m49,country_and_territory_iso3
300,GRC,country_and_territory_m49,country_and_territory_iso3
304,GRL,country_and_territory_m49,country_and_territory_iso3
308,GRD,country_and_territory_m49,country_and_territory_iso3
312,GLP,country_and_territory_m49,country_and_territory_iso3
316,GUM,country_and_territory_m49,country_and_territory_iso3
320,GTM,country_and_territory_m49,country_and_territory_iso3
324,GIN,country_and_territory_m49,country_and_territory_iso3
328,GUY,country_and_territory_m49,country_and_territory_iso3
334,HMD,country_and_territory_m49,country_and_territory_iso3
332,HTI,country_and_territory_m49,country_and_territory_iso3
336,VAT,country_and_territory_m49,country_and_territory_iso3
340,HND,country_and_territory_m49,country_and_territory_iso3
344,HKG,country_and_territory_m49,country_and_territory_iso3
348,HUN,country_and_territory_m49,country_and_territory_iso3
191,HRV,country_and_territory_m49,country_and_territory_iso3
352,ISL,country_and_territory_m49,country_and_territory_iso3
356,IND,country_and_territory_m49,country_and_territory_iso3
360,IDN,country_and_territory_m49,country_and_territory_iso3
364,IRN,country_and_territory_m49,country_and_territory_iso3
368,IRQ,country_and_territory_m49,country_and_territory_iso3
372,IRL,country_and_territory_m49,country_and_territory_iso3
376,ISR,country_and_territory_m49,country_and_territory_iso3
380,ITA,country_and_territory_m49,country_and_territory_iso3
384,CIV,country_and_territory_m49,country_and_territory_iso3
398,KAZ,country_and_territory_m49,country_and_territory_iso3
388,JAM,country_and_territory_m49,country_and_territory_iso3
392,JPN,country_and_territory_m49,country_and_territory_iso3
396,JTN,country_and_territory_m49,country_and_territory_iso3
400,JOR,country_and_territory_m49,country_and_territory_iso3
417,KGZ,country_and_territory_m49,country_and_territory_iso3
404,KEN,country_and_territory_m49,country_and_territory_iso3
116,KHM,country_and_territory_m49,country_and_territory_iso3
408,PRK,country_and_territory_m49,country_and_territory_iso3
410,KOR,country_and_territory_m49,country_and_territory_iso3
414,KWT,country_and_territory_m49,country_and_territory_iso3
428,LVA,country_and_territory_m49,country_and_territory_iso3
418,LAO,country_and_territory_m49,country_and_territory_iso3
422,LBN,country_and_territory_m49,country_and_territory_iso3
426,LSO,country_and_territory_m49,country_and_territory_iso3
430,LBR,country_and_territory_m49,country_and_territory_iso3
434,LBY,country_and_territory_m49,country_and_territory_iso3
438,LIE,country_and_territory_m49,country_and_territory_iso3
440,LTU,country_and_territory_m49,country_and_territory_iso3
584,MHL,country_and_territory_m49,country_and_territory_iso3
446,MAC,country_and_territory_m49,country_and_territory_iso3
450,MDG,country_and_territory_m49,country_and_territory_iso3
454,MWI,country_and_territory_m49,country_and_territory_iso3
458,MYS,country_and_territory_m49,country_and_territory_iso3
462,MDV,country_and_territory_m49,country_and_territory_iso3
466,MLI,country_and_territory_m49,country_and_territory_iso3
470,MLT,country_and_territory_m49,country_and_territory_iso3
474,MTQ,country_and_territory_m49,country_and_territory_iso3
478,MRT,country_and_territory_m49,country_and_territory_iso3
480,MUS,country_and_territory_m49,country_and_territory_iso3
484,MEX,country_and_territory_m49,country_and_territory_iso3
488,MID,country_and_territory_m49,country_and_territory_iso3
492,MCO,country_and_territory_m49,country_and_territory_iso3
496,MNG,country_and_territory_m49,country_and_territory_iso3
500,MSR,country_and_territory_m49,country_and_territory_iso3
504,MAR,country_and_territory_m49,country_and_territory_iso3
508,MOZ,country_and_territory_m49,country_and_territory_iso3
