src_code,trg_code,src_codingsystem,trg_codingsystem
178,SDG_SSA,country_and_territory_m49,un_sdg_regions
646,SDG_SSA,country_and_territory_m49,un_sdg_regions
678,SDG_SSA,country_and_territory_m49,un_sdg_regions
288,SDG_SSA,country_and_territory_m49,un_sdg_regions
108,SDG_SSA,country_and_territory_m49,un_sdg_regions
174,SDG_SSA,country_and_territory_m49,un_sdg_regions
430,SDG_SSA,country_and_territory_m49,un_sdg_regions
231,SDG_SSA,country_and_territory_m49,un_sdg_regions
262,SDG_SSA,country_and_territory_m49,un_sdg_regions
836,SDG_SSA,country_and_territory_m49,un_sdg_regions
690,SDG_SSA,country_and_territory_m49,un_sdg_regions
478,SDG_SSA,country_and_territory_m49,un_sdg_regions
072,SDG_SSA,country_and_territory_m49,un_sdg_regions
404,SDG_SSA,country_and_territory_m49,un_sdg_regions
024,SDG_SSA,country_and_territory_m49,un_sdg_regions
638,SDG_SSA,country_and_territory_m49,un_sdg_regions
260,SDG_SSA,country_and_territory_m49,un_sdg_regions
450,SDG_SSA,country_and_territory_m49,un_sdg_regions
508,SDG_SSA,country_and_territory_m49,un_sdg_regions
834,SDG_SSA,country_and_territory_m49,un_sdg_regions
140,SDG_SSA,country_and_territory_m49,un_sdg_regions
768,SDG_SSA,country_and_territory_m49,un_sdg_regions
230,SDG_SSA,country_and_territory_m49,un_sdg_regions
384,SDG_SSA,country_and_territory_m49,un_sdg_regions
686,SDG_SSA,country_and_territory_m49,un_sdg_regions
894,SDG_SSA,country_and_territory_m49,un_sdg_regions
204,SDG_SSA,country_and_territory_m49,un_sdg_regions
694,SDG_SSA,country_and_territory_m49,un_sdg_regions
566,SDG_SSA,country_and_territory_m49,un_sdg_regions
466,SDG_SSA,country_and_territory_m49,un_sdg_regions
226,SDG_SSA,country_and_territory_m49,un_sdg_regions
562,SDG_SSA,country_and_territory_m49,un_sdg_regions
270,SDG_SSA,country_and_territory_m49,un_sdg_regions
232,SDG_SSA,country_and_territory_m49,un_sdg_regions
426,SDG_SSA,country_and_territory_m49,un_sdg_regions
132,SDG_SSA,country_and_territory_m49,un_sdg_regions
086,SDG_SSA,country_and_territory_m49,un_sdg_regions
748,SDG_SSA,country_and_territory_m49,un_sdg_regions
266,SDG_SSA,country_and_territory_m49,un_sdg_regions
480,SDG_SSA,country_and_territory_m49,un_sdg_regions
800,SDG_SSA,country_and_territory_m49,un_sdg_regions
454,SDG_SSA,country_and_territory_m49,un_sdg_regions
854,SDG_SSA,country_and_territory_m49,un_sdg_regions
710,SDG_SSA,country_and_territory_m49,un_sdg_regions
516,SDG_SSA,country_and_territory_m49,un_sdg_regions
716,SDG_SSA,country_and_territory_m49,un_sdg_regions
728,SDG_SSA,country_and_territory_m49,un_sdg_regions
175,SDG_SSA,country_and_territory_m49,un_sdg_regions
180,SDG_SSA,country_and_territory_m49,un_sdg_regions
