src_code,trg_code,src_codingsystem,trg_codingsystem
178,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
646,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
678,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
288,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
108,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
174,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
430,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
231,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
262,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
836,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
690,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
478,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
072,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
404,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
024,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
638,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
260,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
450,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
508,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
834,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
140,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
768,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
230,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
384,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
686,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
894,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
204,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
694,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
566,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
466,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
226,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
562,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
270,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
232,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
426,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
132,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
086,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
748,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
266,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
480,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
800,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
454,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
854,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
710,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
516,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
716,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
728,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
175,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
180,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
624,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
148,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
654,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
324,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
120,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
706,SDG_SUB_SSA,country_and_territory_m49,un_sdg_subregions
729,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
504,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
736,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
732,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
818,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
434,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
788,SDG_SUB_NAF,country_and_territory_m49,un_sdg_subregions
