src_code,trg_code,src_codingsystem,trg_codingsystem
01,inlandWaters,fao_areas,main_water_area_types
02,inlandWaters,fao_areas,main_water_area_types
03,inlandWaters,fao_areas,main_water_area_types
04,inlandWaters,fao_areas,main_water_area_types
05,inlandWaters,fao_areas,main_water_area_types
06,inlandWaters,fao_areas,main_water_area_types
07,inlandWaters,fao_areas,main_water_area_types
18,marineAreas,fao_areas,main_water_area_types
21,marineAreas,fao_areas,main_water_area_types
27,marineAreas,fao_areas,main_water_area_types
31,marineAreas,fao_areas,main_water_area_types
34,marineAreas,fao_areas,main_water_area_types
37,marineAreas,fao_areas,main_water_area_types
41,marineAreas,fao_areas,main_water_area_types
47,marineAreas,fao_areas,main_water_area_types
48,marineAreas,fao_areas,main_water_area_types
51,marineAreas,fao_areas,main_water_area_types
57,marineAreas,fao_areas,main_water_area_types
58,marineAreas,fao_areas,main_water_area_types
61,marineAreas,fao_areas,main_water_area_types
67,marineAreas,fao_areas,main_water_area_types
71,marineAreas,fao_areas,main_water_area_types
77,marineAreas,fao_areas,main_water_area_types
81,marineAreas,fao_areas,main_water_area_types
87,marineAreas,fao_areas,main_water_area_types
88,marineAreas,fao_areas,main_water_area_types
98,marineAreas,fao_areas,main_water_area_types
99,marineAreas,fao_areas,main_water_area_types
08,inlandWaters,fao_areas,main_water_area_types
37.4,marineAreas,fao_areas,main_water_area_types
37.1,marineAreas,fao_areas,main_water_area_types
27.12,marineAreas,fao_areas,main_water_area_types
37.2,marineAreas,fao_areas,main_water_area_types
37.3,marineAreas,fao_areas,main_water_area_types
34.2,marineAreas,fao_areas,main_water_area_types
34.1,marineAreas,fao_areas,main_water_area_types
51.2,marineAreas,fao_areas,main_water_area_types
57.1,marineAreas,fao_areas,main_water_area_types
34.4,marineAreas,fao_areas,main_water_area_types
34.3,marineAreas,fao_areas,main_water_area_types
51.5,marineAreas,fao_areas,main_water_area_types
87.1,marineAreas,fao_areas,main_water_area_types
41.1,marineAreas,fao_areas,main_water_area_types
57.2,marineAreas,fao_areas,main_water_area_types
51.6,marineAreas,fao_areas,main_water_area_types
51.7,marineAreas,fao_areas,main_water_area_types
51.8,marineAreas,fao_areas,main_water_area_types
57.5,marineAreas,fao_areas,main_water_area_types
57.3,marineAreas,fao_areas,main_water_area_types
87.2,marineAreas,fao_areas,main_water_area_types
41.2,marineAreas,fao_areas,main_water_area_types
57.4,marineAreas,fao_areas,main_water_area_types
87.3,marineAreas,fao_areas,main_water_area_types
58.7,marineAreas,fao_areas,main_water_area_types
58.6,marineAreas,fao_areas,main_water_area_types
58.5,marineAreas,fao_areas,main_water_area_types
41.3,marineAreas,fao_areas,main_water_area_types
27.10,marineAreas,fao_areas,main_water_area_types
27.9,marineAreas,fao_areas,main_water_area_types
48.3,marineAreas,fao_areas,main_water_area_types
48.4,marineAreas,fao_areas,main_water_area_types
58.4,marineAreas,fao_areas,main_water_area_types
48.2,marineAreas,fao_areas,main_water_area_types
88.1,marineAreas,fao_areas,main_water_area_types
88.3,marineAreas,fao_areas,main_water_area_types
48.1,marineAreas,fao_areas,main_water_area_types
51.3,marineAreas,fao_areas,main_water_area_types
51.1,marineAreas,fao_areas,main_water_area_types
57.6,marineAreas,fao_areas,main_water_area_types
51.4,marineAreas,fao_areas,main_water_area_types
48.6,marineAreas,fao_areas,main_water_area_types
48.5,marineAreas,fao_areas,main_water_area_types
88.2,marineAreas,fao_areas,main_water_area_types
47.A,marineAreas,fao_areas,main_water_area_types
21.1,marineAreas,fao_areas,main_water_area_types
21.2,marineAreas,fao_areas,main_water_area_types
21.3,marineAreas,fao_areas,main_water_area_types
47.1,marineAreas,fao_areas,main_water_area_types
47.C,marineAreas,fao_areas,main_water_area_types
47.D,marineAreas,fao_areas,main_water_area_types
47.2,marineAreas,fao_areas,main_water_area_types
27.8,marineAreas,fao_areas,main_water_area_types
21.4,marineAreas,fao_areas,main_water_area_types
21.5,marineAreas,fao_areas,main_water_area_types
21.6,marineAreas,fao_areas,main_water_area_types
21.0,marineAreas,fao_areas,main_water_area_types
47.B,marineAreas,fao_areas,main_water_area_types
27.7,marineAreas,fao_areas,main_water_area_types
27.4,marineAreas,fao_areas,main_water_area_types
27.3,marineAreas,fao_areas,main_water_area_types
27.6,marineAreas,fao_areas,main_water_area_types
27.5,marineAreas,fao_areas,main_water_area_types
27.14,marineAreas,fao_areas,main_water_area_types
27.2,marineAreas,fao_areas,main_water_area_types
27.1,marineAreas,fao_areas,main_water_area_types
37.4.2,marineAreas,fao_areas,main_water_area_types
37.4.3,marineAreas,fao_areas,main_water_area_types
37.1.2,marineAreas,fao_areas,main_water_area_types
37.1.3,marineAreas,fao_areas,main_water_area_types
27.12.b,marineAreas,fao_areas,main_water_area_types
37.2.1,marineAreas,fao_areas,main_water_area_types
37.2.2,marineAreas,fao_areas,main_water_area_types
37.3.1,marineAreas,fao_areas,main_water_area_types
37.4.1,marineAreas,fao_areas,main_water_area_types
37.3.2,marineAreas,fao_areas,main_water_area_types
34.1.2,marineAreas,fao_areas,main_water_area_types
34.1.1,marineAreas,fao_areas,main_water_area_types
34.1.3,marineAreas,fao_areas,main_water_area_types
71.6.2,marineAreas,fao_areas,main_water_area_types
34.4.2,marineAreas,fao_areas,main_water_area_types
34.3.2,marineAreas,fao_areas,main_water_area_types
71.6.1,marineAreas,fao_areas,main_water_area_types
34.3.1,marineAreas,fao_areas,main_water_area_types
34.3.3,marineAreas,fao_areas,main_water_area_types
87.1.1,marineAreas,fao_areas,main_water_area_types
34.3.4,marineAreas,fao_areas,main_water_area_types
34.3.5,marineAreas,fao_areas,main_water_area_types
87.1.2,marineAreas,fao_areas,main_water_area_types
87.1.4,marineAreas,fao_areas,main_water_area_types
