src_code,trg_code,src_codingsystem,trg_codingsystem
GXM,1026903,asfis,worms
CDO,890545,asfis,worms
FMP,1022879,asfis,worms
ATC,158706,asfis,worms
ATO,158707,asfis,worms
ATS,1383080,asfis,worms
ATU,567524,asfis,worms
ATE,1020100,asfis,worms
ATJ,1383103,asfis,worms
YCL,1022872,asfis,worms
DEU,1020084,asfis,worms
ERU,159991,asfis,worms
HYN,1022874,asfis,worms
BUB,1044802,asfis,worms
BUF,269482,asfis,worms
MIM,1022836,asfis,worms
MOG,1021624,asfis,worms
MOE,1022856,asfis,worms
LAL,1422270,asfis,worms
MOM,593217,asfis,worms
MXS,1389902,asfis,worms
XYT,1021240,asfis,worms
CTM,154179,asfis,worms
BOD,1011889,asfis,worms
BWX,268567,asfis,worms
BMW,1021712,asfis,worms
LEU,1021972,asfis,worms
BOH,1021711,asfis,worms
YHM,1020293,asfis,worms
VAI,1384063,asfis,worms
HPD,1384003,asfis,worms
TPC,1022744,asfis,worms
SOG,1026427,asfis,worms
BIW,1250561,asfis,worms
IKC,1012062,asfis,worms
NWD,1015228,asfis,worms
BIM,1015986,asfis,worms
BIO,405376,asfis,worms
FNW,1014050,asfis,worms
BIT,154373,asfis,worms
LED,1012795,asfis,worms
LEG,281291,asfis,worms
LEI,1021849,asfis,worms
KUR,991279,asfis,worms
PAD,1534287,asfis,worms
MWT,154352,asfis,worms
ZMM,1019737,asfis,worms
NUM,1011807,asfis,worms
NAG,1525867,asfis,worms
BIA,1020191,asfis,worms
SAK,1016368,asfis,worms
BTD,1011539,asfis,worms
ANO,1015814,asfis,worms
HYE,1805613,asfis,worms
CML,1026435,asfis,worms
GSB,1020372,asfis,worms
GLE,1383774,asfis,worms
NEU,1018497,asfis,worms
PAK,1019061,asfis,worms
PYH,1013663,asfis,worms
SWL,1021995,asfis,worms
BTA,1011773,asfis,worms
BHS,1016886,asfis,worms
HMO,1019383,asfis,worms
HOI,1020638,asfis,worms
HQX,154192,asfis,worms
NEJ,1014561,asfis,worms
SZL,1012882,asfis,worms
TVJ,1014754,asfis,worms
ELL,1526182,asfis,worms
ABE,1016819,asfis,worms
NEY,1018844,asfis,worms
BTB,1013379,asfis,worms
YUA,1805631,asfis,worms
INE,1020541,asfis,worms
LEH,1018274,asfis,worms
MIU,1529774,asfis,worms
NEE,1012279,asfis,worms
ONO,1011783,asfis,worms
OTP,1022155,asfis,worms
BTO,1805571,asfis,worms
TGT,1805625,asfis,worms
PHV,1017019,asfis,worms
SUH,1014326,asfis,worms
NMD,1421874,asfis,worms
SRC,1014467,asfis,worms
SUI,1011471,asfis,worms
SYD,1011777,asfis,worms
TYC,1015561,asfis,worms
TUA,1011416,asfis,worms
PSI,1022789,asfis,worms
AAX,1011282,asfis,worms
ATA,1018977,asfis,worms
ABA,279543,asfis,worms
DDT,1805552,asfis,worms
ABT,1021827,asfis,worms
JGY,1044791,asfis,worms
YHU,1017931,asfis,worms
AUH,1059780,asfis,worms
BNB,1021826,asfis,worms
LBD,1026567,asfis,worms
BRN,1020140,asfis,worms
PUI,1014769,asfis,worms
PHH,1525655,asfis,worms
OUP,1016541,asfis,worms
SIT,1016413,asfis,worms
MDE,1016539,asfis,worms
FHF,1026350,asfis,worms
BBC,1013176,asfis,worms
BBA,1015056,asfis,worms
BBR,1022192,asfis,worms
PTG,1026316,asfis,worms
BBT,1805551,asfis,worms
BFS,1021642,asfis,worms
BBV,1015904,asfis,worms
PTB,154292,asfis,worms
BBZ,1015365,asfis,worms
BUH,1525641,asfis,worms
BUD,1022733,asfis,worms
BSJ,1022195,asfis,worms
CUG,1016826,asfis,worms
YCB,1012440,asfis,worms
OEC,1026485,asfis,worms
OED,862540,asfis,worms
BBQ,1020743,asfis,worms
LPK,1013789,asfis,worms
FNU,1012174,asfis,worms
OEN,1016266,asfis,worms
CGO,154298,asfis,worms
FCC,154297,asfis,worms
IUV,1021969,asfis,worms
CWG,234033,asfis,worms
WDX,154296,asfis,worms
TCS,1019120,asfis,worms
GUH,1026488,asfis,worms
BBJ,1526229,asfis,worms
RNR,280191,asfis,worms
RNM,1019851,asfis,worms
MUC,1026709,asfis,worms
CMG,314143,asfis,worms
RNE,1026594,asfis,worms
PTL,1012819,asfis,worms
USC,1011938,asfis,worms
YCA,1015573,asfis,worms
YCQ,1418417,asfis,worms
YCD,1717283,asfis,worms
YPW,1013915,asfis,worms
FCP,154582,asfis,worms
FIA,1017028,asfis,worms
FPR,1015593,asfis,worms
PUU,1021905,asfis,worms
PUM,1021856,asfis,worms
SND,1805556,asfis,worms
DIL,1012518,asfis,worms
DII,1015087,asfis,worms
EIO,1010586,asfis,worms
FWI,1526108,asfis,worms
BUO,1470717,asfis,worms
BUL,1470230,asfis,worms
DKE,1526060,asfis,worms
BUI,1460148,asfis,worms
BSM,1042349,asfis,worms
BUY,1165239,asfis,worms
BUU,1214761,asfis,worms
BSI,1165237,asfis,worms
BST,1416216,asfis,worms
BSN,1423448,asfis,worms
EPB,1015830,asfis,worms
EQQ,1621461,asfis,worms
PYI,1805554,asfis,worms
GRD,1022598,asfis,worms
GRG,1524184,asfis,worms
GRT,1026576,asfis,worms
HMK,1525643,asfis,worms
GRK,1026584,asfis,worms
GRU,1026398,asfis,worms
GRR,1312572,asfis,worms
GRI,1014756,asfis,worms
IRT,1014566,asfis,worms
TPW,1014056,asfis,worms
WSK,1019694,asfis,worms
WYG,1019225,asfis,worms
LBZ,1526395,asfis,worms
HMD,1015493,asfis,worms
HML,1020769,asfis,worms
IJM,1008630,asfis,worms
HNC,1525422,asfis,worms
HNZ,1014537,asfis,worms
HYC,1026564,asfis,worms
PUJ,1020642,asfis,worms
HYL,1384084,asfis,worms
YXC,1020029,asfis,worms
YXE,1026559,asfis,worms
YHX,269467,asfis,worms
BNE,1717282,asfis,worms
KAL,1026996,asfis,worms
LBV,1021700,asfis,worms
LBG,1026463,asfis,worms
LBB,1022798,asfis,worms
