"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ABW","ABW","fishingfleet_firms","flag_fao_cwp"
"AGO","AGO","fishingfleet_firms","flag_fao_cwp"
"AIA","AIA","fishingfleet_firms","flag_fao_cwp"
"ALB","ALB","fishingfleet_firms","flag_fao_cwp"
"ARE","ARE","fishingfleet_firms","flag_fao_cwp"
"ARG","ARG","fishingfleet_firms","flag_fao_cwp"
"ASM","ASM","fishingfleet_firms","flag_fao_cwp"
"ATG","ATG","fishingfleet_firms","flag_fao_cwp"
"AUS","AUS","fishingfleet_firms","flag_fao_cwp"
"BEN","BEN","fishingfleet_firms","flag_fao_cwp"
"BGD","BGD","fishingfleet_firms","flag_fao_cwp"
"BHR","BHR","fishingfleet_firms","flag_fao_cwp"
"BHS","BHS","fishingfleet_firms","flag_fao_cwp"
"BLR","BLR","fishingfleet_firms","flag_fao_cwp"
"BLZ","BLZ","fishingfleet_firms","flag_fao_cwp"
"BMU","BMU","fishingfleet_firms","flag_fao_cwp"
"BOL","BOL","fishingfleet_firms","flag_fao_cwp"
"BRA","BRA","fishingfleet_firms","flag_fao_cwp"
"BRB","BRB","fishingfleet_firms","flag_fao_cwp"
"CAN","CAN","fishingfleet_firms","flag_fao_cwp"
"CHE","CHE","fishingfleet_firms","flag_fao_cwp"
"CHL","CHL","fishingfleet_firms","flag_fao_cwp"
"CHN","CHN","fishingfleet_firms","flag_fao_cwp"
"CIV","CIV","fishingfleet_firms","flag_fao_cwp"
"CMR","CMR","fishingfleet_firms","flag_fao_cwp"
"COG","COG","fishingfleet_firms","flag_fao_cwp"
"COK","COK","fishingfleet_firms","flag_fao_cwp"
"COL","COL","fishingfleet_firms","flag_fao_cwp"
"COM","COM","fishingfleet_firms","flag_fao_cwp"
"CPV","CPV","fishingfleet_firms","flag_fao_cwp"
"CRI","CRI","fishingfleet_firms","flag_fao_cwp"
"CUB","CUB","fishingfleet_firms","flag_fao_cwp"
"CUW","CUW","fishingfleet_firms","flag_fao_cwp"
"CYM","CYM","fishingfleet_firms","flag_fao_cwp"
"DDR","---","fishingfleet_firms","flag_fao_cwp"
"DJI","DJI","fishingfleet_firms","flag_fao_cwp"
"DMA","DMA","fishingfleet_firms","flag_fao_cwp"
"DOM","DOM","fishingfleet_firms","flag_fao_cwp"
"DZA","DZA","fishingfleet_firms","flag_fao_cwp"
"ECU","ECU","fishingfleet_firms","flag_fao_cwp"
"EGY","EGY","fishingfleet_firms","flag_fao_cwp"
"ERI","ERI","fishingfleet_firms","flag_fao_cwp"
"EUBEL","BEL","fishingfleet_firms","flag_fao_cwp"
"EUBGR","BGR","fishingfleet_firms","flag_fao_cwp"
"EUCYP","CYP","fishingfleet_firms","flag_fao_cwp"
"EUDEU","DEU","fishingfleet_firms","flag_fao_cwp"
"EUDNK","DNK","fishingfleet_firms","flag_fao_cwp"
"EUESP","ESP","fishingfleet_firms","flag_fao_cwp"
"EUEST","EST","fishingfleet_firms","flag_fao_cwp"
"EUFRA","FRA","fishingfleet_firms","flag_fao_cwp"
"EUGBR","GBR","fishingfleet_firms","flag_fao_cwp"
"EUGRC","GRC","fishingfleet_firms","flag_fao_cwp"
"EUHRV","HRV","fishingfleet_firms","flag_fao_cwp"
"EUIRL","IRL","fishingfleet_firms","flag_fao_cwp"
"EUITA","ITA","fishingfleet_firms","flag_fao_cwp"
"EULTU","LTU","fishingfleet_firms","flag_fao_cwp"
"EULVA","LVA","fishingfleet_firms","flag_fao_cwp"
"EUMLT","MLT","fishingfleet_firms","flag_fao_cwp"
"EUNLD","NLD","fishingfleet_firms","flag_fao_cwp"
"EUPOL","POL","fishingfleet_firms","flag_fao_cwp"
"EUPRT","PRT","fishingfleet_firms","flag_fao_cwp"
"EUR","---","fishingfleet_firms","flag_fao_cwp"
"EUROU","ROU","fishingfleet_firms","flag_fao_cwp"
"EUSVN","SVN","fishingfleet_firms","flag_fao_cwp"
"EUSWE","SWE","fishingfleet_firms","flag_fao_cwp"
"FJI","FJI","fishingfleet_firms","flag_fao_cwp"
"FLK","FLK","fishingfleet_firms","flag_fao_cwp"
"FRAT","---","fishingfleet_firms","flag_fao_cwp"
"FRO","FRO","fishingfleet_firms","flag_fao_cwp"
"FSM","FSM","fishingfleet_firms","flag_fao_cwp"
"GAB","GAB","fishingfleet_firms","flag_fao_cwp"
"GBR","GBR","fishingfleet_firms","flag_fao_cwp"
"GBRT","---","fishingfleet_firms","flag_fao_cwp"
"GEO","GEO","fishingfleet_firms","flag_fao_cwp"
