"src_code","trg_code","src_codingsystem","trg_codingsystem"
"...","---","flag_fao_cwp","fishingfleet_firms"
"ABW","ABW","flag_fao_cwp","fishingfleet_firms"
"AFG","---","flag_fao_cwp","fishingfleet_firms"
"AGO","AGO","flag_fao_cwp","fishingfleet_firms"
"AIA","AIA","flag_fao_cwp","fishingfleet_firms"
"ALB","ALB","flag_fao_cwp","fishingfleet_firms"
"AND","---","flag_fao_cwp","fishingfleet_firms"
"ANT","---","flag_fao_cwp","fishingfleet_firms"
"ARE","ARE","flag_fao_cwp","fishingfleet_firms"
"ARG","ARG","flag_fao_cwp","fishingfleet_firms"
"ARM","---","flag_fao_cwp","fishingfleet_firms"
"ASM","ASM","flag_fao_cwp","fishingfleet_firms"
"ATF","---","flag_fao_cwp","fishingfleet_firms"
"ATG","ATG","flag_fao_cwp","fishingfleet_firms"
"AUS","AUS","flag_fao_cwp","fishingfleet_firms"
"AUT","---","flag_fao_cwp","fishingfleet_firms"
"AZE","---","flag_fao_cwp","fishingfleet_firms"
"BD","---","flag_fao_cwp","fishingfleet_firms"
"BEL","EUBEL","flag_fao_cwp","fishingfleet_firms"
"BEN","BEN","flag_fao_cwp","fishingfleet_firms"
"BES","---","flag_fao_cwp","fishingfleet_firms"
"BFA","---","flag_fao_cwp","fishingfleet_firms"
"BGD","BGD","flag_fao_cwp","fishingfleet_firms"
"BGR","EUBGR","flag_fao_cwp","fishingfleet_firms"
"BHR","BHR","flag_fao_cwp","fishingfleet_firms"
"BHS","BHS","flag_fao_cwp","fishingfleet_firms"
"BIH","---","flag_fao_cwp","fishingfleet_firms"
"BLM","---","flag_fao_cwp","fishingfleet_firms"
"BLR","BLR","flag_fao_cwp","fishingfleet_firms"
"BLZ","BLZ","flag_fao_cwp","fishingfleet_firms"
"BMU","BMU","flag_fao_cwp","fishingfleet_firms"
"BOL","BOL","flag_fao_cwp","fishingfleet_firms"
"BRA","BRA","flag_fao_cwp","fishingfleet_firms"
"BRB","BRB","flag_fao_cwp","fishingfleet_firms"
"BRN","---","flag_fao_cwp","fishingfleet_firms"
"BTN","---","flag_fao_cwp","fishingfleet_firms"
"BWA","---","flag_fao_cwp","fishingfleet_firms"
"CAF","---","flag_fao_cwp","fishingfleet_firms"
"CAN","CAN","flag_fao_cwp","fishingfleet_firms"
"CHE","CHE","flag_fao_cwp","fishingfleet_firms"
"CHL","CHL","flag_fao_cwp","fishingfleet_firms"
"CHN","CHN","flag_fao_cwp","fishingfleet_firms"
"CIV","CIV","flag_fao_cwp","fishingfleet_firms"
"CMR","CMR","flag_fao_cwp","fishingfleet_firms"
"COD","---","flag_fao_cwp","fishingfleet_firms"
"COG","COG","flag_fao_cwp","fishingfleet_firms"
"COK","COK","flag_fao_cwp","fishingfleet_firms"
"COL","COL","flag_fao_cwp","fishingfleet_firms"
"COM","COM","flag_fao_cwp","fishingfleet_firms"
"CPV","CPV","flag_fao_cwp","fishingfleet_firms"
"CRI","CRI","flag_fao_cwp","fishingfleet_firms"
"CSK","---","flag_fao_cwp","fishingfleet_firms"
"CUB","CUB","flag_fao_cwp","fishingfleet_firms"
"CUW","CUW","flag_fao_cwp","fishingfleet_firms"
"CYM","CYM","flag_fao_cwp","fishingfleet_firms"
"CYP","EUCYP","flag_fao_cwp","fishingfleet_firms"
"CZE","---","flag_fao_cwp","fishingfleet_firms"
"DEU","EUDEU","flag_fao_cwp","fishingfleet_firms"
"DJI","DJI","flag_fao_cwp","fishingfleet_firms"
"DMA","DMA","flag_fao_cwp","fishingfleet_firms"
"DNK","EUDNK","flag_fao_cwp","fishingfleet_firms"
"DOM","DOM","flag_fao_cwp","fishingfleet_firms"
"DZA","DZA","flag_fao_cwp","fishingfleet_firms"
"EAZ","---","flag_fao_cwp","fishingfleet_firms"
"ECU","ECU","flag_fao_cwp","fishingfleet_firms"
"EGY","EGY","flag_fao_cwp","fishingfleet_firms"
"ERI","ERI","flag_fao_cwp","fishingfleet_firms"
"ESP","EUESP","flag_fao_cwp","fishingfleet_firms"
"EST","EUEST","flag_fao_cwp","fishingfleet_firms"
"ETH","---","flag_fao_cwp","fishingfleet_firms"
"FIN","---","flag_fao_cwp","fishingfleet_firms"
"FJI","FJI","flag_fao_cwp","fishingfleet_firms"
"FLK","FLK","flag_fao_cwp","fishingfleet_firms"
"FRA","EUFRA","flag_fao_cwp","fishingfleet_firms"
"FRO","FRO","flag_fao_cwp","fishingfleet_firms"
"FSM","FSM","flag_fao_cwp","fishingfleet_firms"
"GAB","GAB","flag_fao_cwp","fishingfleet_firms"
"GBG","---","flag_fao_cwp","fishingfleet_firms"
"GBR","EUGBR","flag_fao_cwp","fishingfleet_firms"
"GBR","GBR","flag_fao_cwp","fishingfleet_firms"
"GEO","GEO","flag_fao_cwp","fishingfleet_firms"
"GHA","GHA","flag_fao_cwp","fishingfleet_firms"
"GIB","---","flag_fao_cwp","fishingfleet_firms"
"GIN","GIN","flag_fao_cwp","fishingfleet_firms"
"GLP","---","flag_fao_cwp","fishingfleet_firms"
"GMB","GMB","flag_fao_cwp","fishingfleet_firms"
"GNB","GNB","flag_fao_cwp","fishingfleet_firms"
"GNQ","GNQ","flag_fao_cwp","fishingfleet_firms"
"GRC","EUGRC","flag_fao_cwp","fishingfleet_firms"
"GRD","GRD","flag_fao_cwp","fishingfleet_firms"
"GRL","---","flag_fao_cwp","fishingfleet_firms"
"GTM","GTM","flag_fao_cwp","fishingfleet_firms"
"GUF","---","flag_fao_cwp","fishingfleet_firms"
"GUM","GUM","flag_fao_cwp","fishingfleet_firms"
"GUY","GUY","flag_fao_cwp","fishingfleet_firms"
"HKG","---","flag_fao_cwp","fishingfleet_firms"
"HND","HND","flag_fao_cwp","fishingfleet_firms"
"HRV","EUHRV","flag_fao_cwp","fishingfleet_firms"
"HTI","HTI","flag_fao_cwp","fishingfleet_firms"
"HUN","---","flag_fao_cwp","fishingfleet_firms"
"IDN","IDN","flag_fao_cwp","fishingfleet_firms"
"IMN","---","flag_fao_cwp","fishingfleet_firms"
"IND","IND","flag_fao_cwp","fishingfleet_firms"
"IOT","---","flag_fao_cwp","fishingfleet_firms"
"IRL","EUIRL","flag_fao_cwp","fishingfleet_firms"
"IRN","IRN","flag_fao_cwp","fishingfleet_firms"
"IRQ","---","flag_fao_cwp","fishingfleet_firms"
"ISL","ISL","flag_fao_cwp","fishingfleet_firms"
"ISR","ISR","flag_fao_cwp","fishingfleet_firms"
"ITA","EUITA","flag_fao_cwp","fishingfleet_firms"
"JAM","JAM","flag_fao_cwp","fishingfleet_firms"
"JOR","JOR","flag_fao_cwp","fishingfleet_firms"
"JPN","JPN","flag_fao_cwp","fishingfleet_firms"
"KAZ","---","flag_fao_cwp","fishingfleet_firms"
"KEN","KEN","flag_fao_cwp","fishingfleet_firms"
"KGZ","---","flag_fao_cwp","fishingfleet_firms"
"KHM","KHM","flag_fao_cwp","fishingfleet_firms"
"KIR","KIR","flag_fao_cwp","fishingfleet_firms"
"KNA","KNA","flag_fao_cwp","fishingfleet_firms"
"KOR","KOR","flag_fao_cwp","fishingfleet_firms"
"KWT","KWT","flag_fao_cwp","fishingfleet_firms"
"LAO","---","flag_fao_cwp","fishingfleet_firms"
"LBN","LBN","flag_fao_cwp","fishingfleet_firms"
"LBR","LBR","flag_fao_cwp","fishingfleet_firms"
"LBY","LBY","flag_fao_cwp","fishingfleet_firms"
"LCA","LCA","flag_fao_cwp","fishingfleet_firms"
"LIE","---","flag_fao_cwp","fishingfleet_firms"
"LKA","LKA","flag_fao_cwp","fishingfleet_firms"
"LSO","---","flag_fao_cwp","fishingfleet_firms"
"LTU","EULTU","flag_fao_cwp","fishingfleet_firms"
"LUX","---","flag_fao_cwp","fishingfleet_firms"
"LVA","EULVA","flag_fao_cwp","fishingfleet_firms"
"MAC","---","flag_fao_cwp","fishingfleet_firms"
"MAF","---","flag_fao_cwp","fishingfleet_firms"
"MAR","MAR","flag_fao_cwp","fishingfleet_firms"
"MCO","---","flag_fao_cwp","fishingfleet_firms"
"MDA","---","flag_fao_cwp","fishingfleet_firms"
"MDG","MDG","flag_fao_cwp","fishingfleet_firms"
"MDV","MDV","flag_fao_cwp","fishingfleet_firms"
"MEX","MEX","flag_fao_cwp","fishingfleet_firms"
"MHL","MHL","flag_fao_cwp","fishingfleet_firms"
"MKD","---","flag_fao_cwp","fishingfleet_firms"
"MLI","---","flag_fao_cwp","fishingfleet_firms"
"MLT","EUMLT","flag_fao_cwp","fishingfleet_firms"
"MMR","MMR","flag_fao_cwp","fishingfleet_firms"
"MNE","MNE","flag_fao_cwp","fishingfleet_firms"
"MNG","---","flag_fao_cwp","fishingfleet_firms"
"MNP","MNP","flag_fao_cwp","fishingfleet_firms"
"MOZ","MOZ","flag_fao_cwp","fishingfleet_firms"
"MRT","MRT","flag_fao_cwp","fishingfleet_firms"
"MSR","---","flag_fao_cwp","fishingfleet_firms"
"MTQ","---","flag_fao_cwp","fishingfleet_firms"
"MUS","MUS","flag_fao_cwp","fishingfleet_firms"
