src_code,trg_code,src_codingsystem,trg_codingsystem
01,PS,isscfg_revision_1,geargroup_tunaatlas
01.1,PS,isscfg_revision_1,geargroup_tunaatlas
01.2,PS,isscfg_revision_1,geargroup_tunaatlas
01.9,PS,isscfg_revision_1,geargroup_tunaatlas
02,OTHER,isscfg_revision_1,geargroup_tunaatlas
02.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
02.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
02.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
03,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.11,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.12,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.13,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.14,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.15,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.19,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.21,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.22,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.29,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.3,OTHER,isscfg_revision_1,geargroup_tunaatlas
03.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
04,OTHER,isscfg_revision_1,geargroup_tunaatlas
04.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
04.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
04.3,OTHER,isscfg_revision_1,geargroup_tunaatlas
04.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
05,OTHER,isscfg_revision_1,geargroup_tunaatlas
05.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
05.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
05.3,OTHER,isscfg_revision_1,geargroup_tunaatlas
05.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
06,OTHER,isscfg_revision_1,geargroup_tunaatlas
06.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
06.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
06.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
07,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.3,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.4,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.5,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.6,OTHER,isscfg_revision_1,geargroup_tunaatlas
07.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
08,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.3,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.4,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.5,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.6,OTHER,isscfg_revision_1,geargroup_tunaatlas
08.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
09,LL,isscfg_revision_1,geargroup_tunaatlas
09.1,BB,isscfg_revision_1,geargroup_tunaatlas
09.2,BB,isscfg_revision_1,geargroup_tunaatlas
09.31,LL,isscfg_revision_1,geargroup_tunaatlas
09.32,LL,isscfg_revision_1,geargroup_tunaatlas
09.39,LL,isscfg_revision_1,geargroup_tunaatlas
09.4,LL,isscfg_revision_1,geargroup_tunaatlas
09.5,OTHER,isscfg_revision_1,geargroup_tunaatlas
09.9,LL,isscfg_revision_1,geargroup_tunaatlas
10,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.1,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.2,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.3,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.4,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.5,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.6,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.7,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.8,OTHER,isscfg_revision_1,geargroup_tunaatlas
10.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
99,OTHER,isscfg_revision_1,geargroup_tunaatlas
99.9,OTHER,isscfg_revision_1,geargroup_tunaatlas
