"src_code","trg_code","src_codingsystem","trg_codingsystem"
"BLZ","BLZ","flag_iattc","flag_fao_cwp"
"BMU","BMU","flag_iattc","flag_fao_cwp"
"BOL","BOL","flag_iattc","flag_fao_cwp"
"CAN","CAN","flag_iattc","flag_fao_cwp"
"CHL","CHL","flag_iattc","flag_fao_cwp"
"CHN","CHN","flag_iattc","flag_fao_cwp"
"COG","COG","flag_iattc","flag_fao_cwp"
"COK","COK","flag_iattc","flag_fao_cwp"
"COL","COL","flag_iattc","flag_fao_cwp"
"CRI","CRI","flag_iattc","flag_fao_cwp"
"CYM","CYM","flag_iattc","flag_fao_cwp"
"CYP","CYP","flag_iattc","flag_fao_cwp"
"DEU","DEU","flag_iattc","flag_fao_cwp"
"ECU","ECU","flag_iattc","flag_fao_cwp"
"ESP","ESP","flag_iattc","flag_fao_cwp"
"EU","NEI","flag_iattc","flag_fao_cwp"
"FRA","FRA","flag_iattc","flag_fao_cwp"
"FSM","FSM","flag_iattc","flag_fao_cwp"
"GBR","GBR","flag_iattc","flag_fao_cwp"
"GEO","GEO","flag_iattc","flag_fao_cwp"
"GTM","GTM","flag_iattc","flag_fao_cwp"
"HND","HND","flag_iattc","flag_fao_cwp"
"IDN","IDN","flag_iattc","flag_fao_cwp"
"ITA","ITA","flag_iattc","flag_fao_cwp"
"JPN","JPN","flag_iattc","flag_fao_cwp"
"KOR","KOR","flag_iattc","flag_fao_cwp"
"LBR","LBR","flag_iattc","flag_fao_cwp"
"MEX","MEX","flag_iattc","flag_fao_cwp"
"NIC","NIC","flag_iattc","flag_fao_cwp"
"NLD","NLD","flag_iattc","flag_fao_cwp"
"NOR","NOR","flag_iattc","flag_fao_cwp"
"NZL","NZL","flag_iattc","flag_fao_cwp"
"OTR","NEI","flag_iattc","flag_fao_cwp"
"PAN","PAN","flag_iattc","flag_fao_cwp"
"PER","PER","flag_iattc","flag_fao_cwp"
"POL","POL","flag_iattc","flag_fao_cwp"
"PRT","PRT","flag_iattc","flag_fao_cwp"
"PYF","PYF","flag_iattc","flag_fao_cwp"
"RUS","RUS","flag_iattc","flag_fao_cwp"
"SEN","SEN","flag_iattc","flag_fao_cwp"
"SLB","SLB","flag_iattc","flag_fao_cwp"
"SLV","SLV","flag_iattc","flag_fao_cwp"
"SYC","SYC","flag_iattc","flag_fao_cwp"
"TWN","TWN","flag_iattc","flag_fao_cwp"
"UNK","UNK","flag_iattc","flag_fao_cwp"
"URY","URY","flag_iattc","flag_fao_cwp"
"USA","USA","flag_iattc","flag_fao_cwp"
"VCT","VCT","flag_iattc","flag_fao_cwp"
"VEN","VEN","flag_iattc","flag_fao_cwp"
"VUT","VUT","flag_iattc","flag_fao_cwp"
"YUG","YUG","flag_iattc","flag_fao_cwp"
