"src_code","trg_code","src_codingsystem","trg_codingsystem"
"FPN","OTHER","gear_iattc","geargroup_tunaatlas"
"GN","OTHER","gear_iattc","geargroup_tunaatlas"
"HAR","OTHER","gear_iattc","geargroup_tunaatlas"
"LL","LL","gear_iattc","geargroup_tunaatlas"
"LP","BB","gear_iattc","geargroup_tunaatlas"
"LTL","OTHER","gear_iattc","geargroup_tunaatlas"
"LX","OTHER","gear_iattc","geargroup_tunaatlas"
"MO","OTHER","gear_iattc","geargroup_tunaatlas"
"NK","OTHER","gear_iattc","geargroup_tunaatlas"
"OTR","OTHER","gear_iattc","geargroup_tunaatlas"
"PS","PS","gear_iattc","geargroup_tunaatlas"
"RG","OTHER","gear_iattc","geargroup_tunaatlas"
"TX","OTHER","gear_iattc","geargroup_tunaatlas"
