"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ALB","TUNTEMP","species_iattc","speciesgroup_tunaatlas"
"BET","TUNTROP","species_iattc","speciesgroup_tunaatlas"
"BIL","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"BKJ","TUNTROP","species_iattc","speciesgroup_tunaatlas"
"BLM","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"BSH","SHK","species_iattc","speciesgroup_tunaatlas"
"BUM","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"BZX","BONMACK","species_iattc","speciesgroup_tunaatlas"
"CCL","SHK","species_iattc","speciesgroup_tunaatlas"
"CGX","BOFOT","species_iattc","speciesgroup_tunaatlas"
"DOX","BOFOT","species_iattc","speciesgroup_tunaatlas"
"FAL","SHK","species_iattc","speciesgroup_tunaatlas"
"MAK","SHK","species_iattc","speciesgroup_tunaatlas"
"MLS","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"MZZ","BOFOT","species_iattc","speciesgroup_tunaatlas"
"OCS","SHK","species_iattc","speciesgroup_tunaatlas"
"PBF","TUNTEMP","species_iattc","speciesgroup_tunaatlas"
"RSK","SHK","species_iattc","speciesgroup_tunaatlas"
"SBF","TUNTEMP","species_iattc","speciesgroup_tunaatlas"
"SEPN","SHK","species_iattc","speciesgroup_tunaatlas"
"SFA","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"SKH","SHK","species_iattc","speciesgroup_tunaatlas"
"SKJ","TUNTROP","species_iattc","speciesgroup_tunaatlas"
"SKX","OTHER","species_iattc","speciesgroup_tunaatlas"
"SMA","SHK","species_iattc","speciesgroup_tunaatlas"
"SPL","SHK","species_iattc","speciesgroup_tunaatlas"
"SPN","SHK","species_iattc","speciesgroup_tunaatlas"
"SPZ","SHK","species_iattc","speciesgroup_tunaatlas"
"SRX","RAYS","species_iattc","speciesgroup_tunaatlas"
"SSP","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"SWO","BILLFIS","species_iattc","speciesgroup_tunaatlas"
"THR","SHK","species_iattc","speciesgroup_tunaatlas"
"TUN","SCOOT","species_iattc","speciesgroup_tunaatlas"
"YFT","TUNTROP","species_iattc","speciesgroup_tunaatlas"
"WAH","SCOOT","species_iattc","speciesgroup_tunaatlas"
