"src_code","trg_code","src_codingsystem","trg_codingsystem"
"-none-","-none-","effortunit_iccat","effortunit_rfmos"
"D.AT SEA","DAYS","effortunit_iccat","effortunit_rfmos"
"D.FISH","FDAYS","effortunit_iccat","effortunit_rfmos"
"D.FISH.G","D.FISH.G","effortunit_iccat","effortunit_rfmos"
"FISH.HOUR","FHOURS","effortunit_iccat","effortunit_rfmos"
"HOURS.SEA","HOURS","effortunit_iccat","effortunit_rfmos"
"Hours.FAD","Hours.FAD","effortunit_iccat","effortunit_rfmos"
"Hours.FSC","Hours.FSC","effortunit_iccat","effortunit_rfmos"
"Hours.STD","Hours.STD","effortunit_iccat","effortunit_rfmos"
"KM.SETS","KM.SETS","effortunit_iccat","effortunit_rfmos"
"LINE.DAYS","LINE.DAYS","effortunit_iccat","effortunit_rfmos"
"N.POLE-D","N.POLE-D","effortunit_iccat","effortunit_rfmos"
"NO DATA","NO DATA","effortunit_iccat","effortunit_rfmos"
"NO.BOATS","BOATS","effortunit_iccat","effortunit_rfmos"
"NO.FADS.VIS","NO.FADS.VIS","effortunit_iccat","effortunit_rfmos"
"NO.HOOKS","HOOKS","effortunit_iccat","effortunit_rfmos"
"NO.LINES","LINES","effortunit_iccat","effortunit_rfmos"
"NO.MTZAS","NO.MTZAS","effortunit_iccat","effortunit_rfmos"
"NO.NETS","NO.NETS","effortunit_iccat","effortunit_rfmos"
"NO.POLES","LINES","effortunit_iccat","effortunit_rfmos"
"NO.SETS","SETS","effortunit_iccat","effortunit_rfmos"
"NO.TRAPS","NO.TRAPS","effortunit_iccat","effortunit_rfmos"
"NO.TRIPS","TRIPS","effortunit_iccat","effortunit_rfmos"
"SUC.D.FI","SUC.D.FI","effortunit_iccat","effortunit_rfmos"
"SUC.SETS","SUC.SETS","effortunit_iccat","effortunit_rfmos"
"TRAP D","TRAP D","effortunit_iccat","effortunit_rfmos"
