"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ABW","ABW","flag_iccat","flag_fao_cwp"
"AGO","AGO","flag_iccat","flag_fao_cwp"
"AIA","AIA","flag_iccat","flag_fao_cwp"
"ALB","ALB","flag_iccat","flag_fao_cwp"
"ARE","ARE","flag_iccat","flag_fao_cwp"
"ARG","ARG","flag_iccat","flag_fao_cwp"
"ATG","ATG","flag_iccat","flag_fao_cwp"
"AUS","AUS","flag_iccat","flag_fao_cwp"
"BEN","BEN","flag_iccat","flag_fao_cwp"
"BHS","BHS","flag_iccat","flag_fao_cwp"
"BLR","BLR","flag_iccat","flag_fao_cwp"
"BLZ","BLZ","flag_iccat","flag_fao_cwp"
"BLZ.Obs","BLZ","flag_iccat","flag_fao_cwp"
"BOL","BOL","flag_iccat","flag_fao_cwp"
"BRA","BRA","flag_iccat","flag_fao_cwp"
"BRB","BRB","flag_iccat","flag_fao_cwp"
"CAN","CAN","flag_iccat","flag_fao_cwp"
"CHE","CHE","flag_iccat","flag_fao_cwp"
"CHL","CHL","flag_iccat","flag_fao_cwp"
"CHN","CHN","flag_iccat","flag_fao_cwp"
"CHN.ICCAT","CHN","flag_iccat","flag_fao_cwp"
"CIV","CIV","flag_iccat","flag_fao_cwp"
"CMR","CMR","flag_iccat","flag_fao_cwp"
"COG","COG","flag_iccat","flag_fao_cwp"
"COK","COK","flag_iccat","flag_fao_cwp"
"COL","COL","flag_iccat","flag_fao_cwp"
"CPV","CPV","flag_iccat","flag_fao_cwp"
"CRI","CRI","flag_iccat","flag_fao_cwp"
"CUB","CUB","flag_iccat","flag_fao_cwp"
"CUB.ICCAT","CUB","flag_iccat","flag_fao_cwp"
"CUW","CUW","flag_iccat","flag_fao_cwp"
"CYM","CYM","flag_iccat","flag_fao_cwp"
"DDR","DEU","flag_iccat","flag_fao_cwp"
"DMA","DMA","flag_iccat","flag_fao_cwp"
"DOM","DOM","flag_iccat","flag_fao_cwp"
"DZA","DZA","flag_iccat","flag_fao_cwp"
"ECU","ECU","flag_iccat","flag_fao_cwp"
"EGY","EGY","flag_iccat","flag_fao_cwp"
"EU","NEI","flag_iccat","flag_fao_cwp"
"EU.BEL","BEL","flag_iccat","flag_fao_cwp"
"EU.BGR","BGR","flag_iccat","flag_fao_cwp"
"EU.CYP","CYP","flag_iccat","flag_fao_cwp"
"EU.DEU","DEU","flag_iccat","flag_fao_cwp"
"EU.DNK","DNK","flag_iccat","flag_fao_cwp"
"EU.ESP","ESP","flag_iccat","flag_fao_cwp"
"EU.EST","EST","flag_iccat","flag_fao_cwp"
"EU.FRA","FRA","flag_iccat","flag_fao_cwp"
"EU.GRC","GRC","flag_iccat","flag_fao_cwp"
"EU.HRV","HRV","flag_iccat","flag_fao_cwp"
"EU.IRL","IRL","flag_iccat","flag_fao_cwp"
