"src_code","trg_code","src_codingsystem","trg_codingsystem"
"Albania","ALB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Algerie","DZA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Angola","AGO","flag_iccat_from_ncandcas","fishingfleet_firms"
"Anguilla","AIA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Antigua and Barbuda","ATG","flag_iccat_from_ncandcas","fishingfleet_firms"
"Argentina","ARG","flag_iccat_from_ncandcas","fishingfleet_firms"
"Aruba","ABW","flag_iccat_from_ncandcas","fishingfleet_firms"
"Australia","AUS","flag_iccat_from_ncandcas","fishingfleet_firms"
"Bahamas","BHS","flag_iccat_from_ncandcas","fishingfleet_firms"
"Barbados","BRB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Belarus","BLR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Belize","BLZ","flag_iccat_from_ncandcas","fishingfleet_firms"
"Belize (foreign obs.)","BLZ","flag_iccat_from_ncandcas","fishingfleet_firms"
"Benin","BEN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Bolivia","BOL","flag_iccat_from_ncandcas","fishingfleet_firms"
"Brazil","BRA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cambodia","KHM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cameroon","CMR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Canada","CAN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cape Verde","CPV","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cayman Islands","CYM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Chile","CHL","flag_iccat_from_ncandcas","fishingfleet_firms"
"China (ICCAT program)","CHN","flag_iccat_from_ncandcas","fishingfleet_firms"
"China PR","CHN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Chinese Taipei","TWN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Chinese Taipei (foreign obs.)","TWN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Colombia","COL","flag_iccat_from_ncandcas","fishingfleet_firms"
"Congo","COG","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cook Islands","COK","flag_iccat_from_ncandcas","fishingfleet_firms"
"Costa Rica","CRI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Côte D Ivoire","CIV","flag_iccat_from_ncandcas","fishingfleet_firms"
"Côte d Ivoire","CIV","flag_iccat_from_ncandcas","fishingfleet_firms"
"Côte d’Ivoire","CIV","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cuba","CUB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Cuba (ICCAT program)","CUB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Curaçao","CUW","flag_iccat_from_ncandcas","fishingfleet_firms"
"Dominica","DMA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Dominican Republic","DOM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Ecuador","ECU","flag_iccat_from_ncandcas","fishingfleet_firms"
"Egypt","EGY","flag_iccat_from_ncandcas","fishingfleet_firms"
"El Salvador","SLV","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Belgium","EUBEL","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Bulgaria","EUBGR","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Croatia","EUHRV","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Cyprus","EUCYP","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Denmark","EUDNK","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.España","EUESP","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Estonia","EUEST","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.France","EUFRA","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Germany","EUDEU","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Greece","EUGRC","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Ireland","EUIRL","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Italy","EUITA","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Latvia","EULVA","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Lithuania","EULTU","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Malta","EUMLT","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Netherlands","EUNLD","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Poland","EUPOL","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Portugal","EUPRT","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Rumania","EUROU","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Slovenia","EUSVN","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.Sweden","EUSWE","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU.United Kingdom","EUGBR","flag_iccat_from_ncandcas","fishingfleet_firms"
"EU-others","EUR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Falklands","FLK","flag_iccat_from_ncandcas","fishingfleet_firms"
"Faroe Islands","FRO","flag_iccat_from_ncandcas","fishingfleet_firms"
"Fiji Islands","FJI","flag_iccat_from_ncandcas","fishingfleet_firms"
"FR.St Pierre et Miquelon","SPM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Gabon","GAB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Gambia","GMB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Georgia","GEO","flag_iccat_from_ncandcas","fishingfleet_firms"
"Germany Democratic Rep","DDR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Ghana","GHA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Ghana (ICCAT program)","GHA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Grenada","GRD","flag_iccat_from_ncandcas","fishingfleet_firms"
"Guam","GUM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Guatemala","GTM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Guinea Bissau","GNB","flag_iccat_from_ncandcas","fishingfleet_firms"
"Guinea Ecuatorial","GNQ","flag_iccat_from_ncandcas","fishingfleet_firms"
"Guinée Rep.","GIN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Guyana","GUY","flag_iccat_from_ncandcas","fishingfleet_firms"
"Haiti","HTI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Honduras","HND","flag_iccat_from_ncandcas","fishingfleet_firms"
"Honduras (foreign obs.)","HND","flag_iccat_from_ncandcas","fishingfleet_firms"
"ICCAT (RMA)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Iceland","ISL","flag_iccat_from_ncandcas","fishingfleet_firms"
"India","IND","flag_iccat_from_ncandcas","fishingfleet_firms"
"Indonesia","IDN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Iran","IRN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Israel","ISR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Jamaica","JAM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Japan","JPN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Japan (foreign obs.)","JPN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Japan (ICCAT program)","JPN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Japan (reference)","JPN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Kenya","KEN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Kiribati","KIR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Korea Rep.","KOR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Lebanon","LBN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Liberia","LBR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Libya","LBY","flag_iccat_from_ncandcas","fishingfleet_firms"
"Madagascar","MDG","flag_iccat_from_ncandcas","fishingfleet_firms"
"Malaysia","MYS","flag_iccat_from_ncandcas","fishingfleet_firms"
"Maldives","MDV","flag_iccat_from_ncandcas","fishingfleet_firms"
"Maroc","MAR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Marshall Islands","MHL","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mauritania","MRT","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mauritius","MUS","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mexico","MEX","flag_iccat_from_ncandcas","fishingfleet_firms"
"Micronesia","FSM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mixed flags (EU tropical)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mixed flags (FIS)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mixed flags (FR+ES)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mixed flags (KR+PA)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Montenegro","MNE","flag_iccat_from_ncandcas","fishingfleet_firms"
"Mozambique","MOZ","flag_iccat_from_ncandcas","fishingfleet_firms"
"Namibia","NAM","flag_iccat_from_ncandcas","fishingfleet_firms"
"NEI (BIL)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"NEI (combined)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"NEI (ETRO)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"NEI (Flag related)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"NEI (MED)","NEI","flag_iccat_from_ncandcas","fishingfleet_firms"
"NEI (UK.OT)","GBRT","flag_iccat_from_ncandcas","fishingfleet_firms"
"New Zealand","NZL","flag_iccat_from_ncandcas","fishingfleet_firms"
"Nicaragua","NIC","flag_iccat_from_ncandcas","fishingfleet_firms"
"Nigeria","NGA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Norway","NOR","flag_iccat_from_ncandcas","fishingfleet_firms"
"Oman","OMN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Palau","PLW","flag_iccat_from_ncandcas","fishingfleet_firms"
"Palestine","PSE","flag_iccat_from_ncandcas","fishingfleet_firms"
"Panama","PAN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Panama (foreign obs.)","PAN","flag_iccat_from_ncandcas","fishingfleet_firms"
"Papua New Guinea","PNG","flag_iccat_from_ncandcas","fishingfleet_firms"
"Perú","PER","flag_iccat_from_ncandcas","fishingfleet_firms"
"Philippines","PHL","flag_iccat_from_ncandcas","fishingfleet_firms"
"Polynesie Française","PYF","flag_iccat_from_ncandcas","fishingfleet_firms"
"Puerto Rico","PRI","flag_iccat_from_ncandcas","fishingfleet_firms"
"Rumania","EUROU","flag_iccat_from_ncandcas","fishingfleet_firms"
"Russian Federation","RUS","flag_iccat_from_ncandcas","fishingfleet_firms"
"S. Tomé e Príncipe","STP","flag_iccat_from_ncandcas","fishingfleet_firms"
"Saint Kitts and Nevis","KNA","flag_iccat_from_ncandcas","fishingfleet_firms"
"Samoa","WSM","flag_iccat_from_ncandcas","fishingfleet_firms"
"Senegal","SEN","flag_iccat_from_ncandcas","fishingfleet_firms"
