src_code,trg_code,src_codingsystem,trg_codingsystem
Albania,ALB,flag_iccat_from_ncandcas,flag_fao_cwp
Algerie,DZA,flag_iccat_from_ncandcas,flag_fao_cwp
Angola,AGO,flag_iccat_from_ncandcas,flag_fao_cwp
Anguilla,AIA,flag_iccat_from_ncandcas,flag_fao_cwp
Antigua and Barbuda,ATG,flag_iccat_from_ncandcas,flag_fao_cwp
Argentina,ARG,flag_iccat_from_ncandcas,flag_fao_cwp
Aruba,ABW,flag_iccat_from_ncandcas,flag_fao_cwp
Australia,AUS,flag_iccat_from_ncandcas,flag_fao_cwp
Bahamas,BHS,flag_iccat_from_ncandcas,flag_fao_cwp
Barbados,BRB,flag_iccat_from_ncandcas,flag_fao_cwp
Belarus,BLR,flag_iccat_from_ncandcas,flag_fao_cwp
Belize,BLZ,flag_iccat_from_ncandcas,flag_fao_cwp
Belize (foreign obs.),BLZ,flag_iccat_from_ncandcas,flag_fao_cwp
Benin,BEN,flag_iccat_from_ncandcas,flag_fao_cwp
Bolivia,BOL,flag_iccat_from_ncandcas,flag_fao_cwp
Brazil,BRA,flag_iccat_from_ncandcas,flag_fao_cwp
Cambodia,KHM,flag_iccat_from_ncandcas,flag_fao_cwp
Cameroon,CMR,flag_iccat_from_ncandcas,flag_fao_cwp
Canada,CAN,flag_iccat_from_ncandcas,flag_fao_cwp
Cape Verde,CPV,flag_iccat_from_ncandcas,flag_fao_cwp
Cayman Islands,CYM,flag_iccat_from_ncandcas,flag_fao_cwp
Chile,CHL,flag_iccat_from_ncandcas,flag_fao_cwp
China (ICCAT program),CHN,flag_iccat_from_ncandcas,flag_fao_cwp
China PR,CHN,flag_iccat_from_ncandcas,flag_fao_cwp
Chinese Taipei,CHN,flag_iccat_from_ncandcas,flag_fao_cwp
Chinese Taipei (foreign obs.),CHN,flag_iccat_from_ncandcas,flag_fao_cwp
Colombia,COL,flag_iccat_from_ncandcas,flag_fao_cwp
Congo,COG,flag_iccat_from_ncandcas,flag_fao_cwp
Cook Islands,COK,flag_iccat_from_ncandcas,flag_fao_cwp
Costa Rica,CRI,flag_iccat_from_ncandcas,flag_fao_cwp
Cuba,CUB,flag_iccat_from_ncandcas,flag_fao_cwp
Cuba (ICCAT program),CUB,flag_iccat_from_ncandcas,flag_fao_cwp
Curaçao,CUW,flag_iccat_from_ncandcas,flag_fao_cwp
Côte D Ivoire,CIV,flag_iccat_from_ncandcas,flag_fao_cwp
Côte d Ivoire,CIV,flag_iccat_from_ncandcas,flag_fao_cwp
Côte d’Ivoire,CIV,flag_iccat_from_ncandcas,flag_fao_cwp
Dominica,DMA,flag_iccat_from_ncandcas,flag_fao_cwp
Dominican Republic,DOM,flag_iccat_from_ncandcas,flag_fao_cwp
EU-others,NEI,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Belgium,BEL,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Bulgaria,BGR,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Croatia,HRV,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Cyprus,CYP,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Denmark,DNK,flag_iccat_from_ncandcas,flag_fao_cwp
EU.España,ESP,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Estonia,EST,flag_iccat_from_ncandcas,flag_fao_cwp
EU.France,FRA,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Germany,DEU,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Greece,GRC,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Ireland,IRL,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Italy,ITA,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Latvia,LVA,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Lithuania,LTU,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Malta,MLT,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Netherlands,NLD,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Poland,POL,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Portugal,PRT,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Slovenia,SVN,flag_iccat_from_ncandcas,flag_fao_cwp
EU.Sweden,SWE,flag_iccat_from_ncandcas,flag_fao_cwp
EU.United Kingdom,GBR,flag_iccat_from_ncandcas,flag_fao_cwp
Ecuador,ECU,flag_iccat_from_ncandcas,flag_fao_cwp
Egypt,EGY,flag_iccat_from_ncandcas,flag_fao_cwp
El Salvador,SLV,flag_iccat_from_ncandcas,flag_fao_cwp
FR.St Pierre et Miquelon,SPM,flag_iccat_from_ncandcas,flag_fao_cwp
Falklands,FLK,flag_iccat_from_ncandcas,flag_fao_cwp
Faroe Islands,FRO,flag_iccat_from_ncandcas,flag_fao_cwp
Fiji Islands,FJI,flag_iccat_from_ncandcas,flag_fao_cwp
Gabon,GAB,flag_iccat_from_ncandcas,flag_fao_cwp
Gambia,GMB,flag_iccat_from_ncandcas,flag_fao_cwp
Georgia,GEO,flag_iccat_from_ncandcas,flag_fao_cwp
Germany Democratic Rep,DEU,flag_iccat_from_ncandcas,flag_fao_cwp
Ghana,GHA,flag_iccat_from_ncandcas,flag_fao_cwp
Ghana (ICCAT program),GHA,flag_iccat_from_ncandcas,flag_fao_cwp
Grenada,GRD,flag_iccat_from_ncandcas,flag_fao_cwp
Guam,GUM,flag_iccat_from_ncandcas,flag_fao_cwp
Guatemala,GTM,flag_iccat_from_ncandcas,flag_fao_cwp
Guinea Bissau,GNB,flag_iccat_from_ncandcas,flag_fao_cwp
Guinea Ecuatorial,GNQ,flag_iccat_from_ncandcas,flag_fao_cwp
Guinée Rep.,GIN,flag_iccat_from_ncandcas,flag_fao_cwp
Guyana,GUY,flag_iccat_from_ncandcas,flag_fao_cwp
Haiti,HTI,flag_iccat_from_ncandcas,flag_fao_cwp
Honduras,HND,flag_iccat_from_ncandcas,flag_fao_cwp
Honduras (foreign obs.),HND,flag_iccat_from_ncandcas,flag_fao_cwp
ICCAT (RMA),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
Iceland,ISL,flag_iccat_from_ncandcas,flag_fao_cwp
India,IND,flag_iccat_from_ncandcas,flag_fao_cwp
Indonesia,IDN,flag_iccat_from_ncandcas,flag_fao_cwp
Iran,IRN,flag_iccat_from_ncandcas,flag_fao_cwp
Israel,ISR,flag_iccat_from_ncandcas,flag_fao_cwp
Jamaica,JAM,flag_iccat_from_ncandcas,flag_fao_cwp
Japan,JPN,flag_iccat_from_ncandcas,flag_fao_cwp
Japan (ICCAT program),JPN,flag_iccat_from_ncandcas,flag_fao_cwp
Japan (foreign obs.),JPN,flag_iccat_from_ncandcas,flag_fao_cwp
Japan (reference),JPN,flag_iccat_from_ncandcas,flag_fao_cwp
Kenya,KEN,flag_iccat_from_ncandcas,flag_fao_cwp
Kiribati,KIR,flag_iccat_from_ncandcas,flag_fao_cwp
Korea Rep.,KOR,flag_iccat_from_ncandcas,flag_fao_cwp
Lebanon,LBN,flag_iccat_from_ncandcas,flag_fao_cwp
Liberia,LBR,flag_iccat_from_ncandcas,flag_fao_cwp
Libya,LBY,flag_iccat_from_ncandcas,flag_fao_cwp
Madagascar,MDG,flag_iccat_from_ncandcas,flag_fao_cwp
Malaysia,MYS,flag_iccat_from_ncandcas,flag_fao_cwp
Maldives,MDV,flag_iccat_from_ncandcas,flag_fao_cwp
Maroc,MAR,flag_iccat_from_ncandcas,flag_fao_cwp
Marshall Islands,MHL,flag_iccat_from_ncandcas,flag_fao_cwp
Mauritania,MRT,flag_iccat_from_ncandcas,flag_fao_cwp
Mauritius,MUS,flag_iccat_from_ncandcas,flag_fao_cwp
Mexico,MEX,flag_iccat_from_ncandcas,flag_fao_cwp
Micronesia,FSM,flag_iccat_from_ncandcas,flag_fao_cwp
Mixed flags (EU tropical),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
Mixed flags (FIS),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
Mixed flags (FR+ES),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
Mixed flags (KR+PA),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
Montenegro,MNE,flag_iccat_from_ncandcas,flag_fao_cwp
Mozambique,MOZ,flag_iccat_from_ncandcas,flag_fao_cwp
NEI (BIL),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
NEI (ETRO),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
NEI (Flag related),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
NEI (MED),NEI,flag_iccat_from_ncandcas,flag_fao_cwp
