src_code,trg_code,src_codingsystem,trg_codingsystem
Albania,ALB,flag_iccat_from_ncandcas,flag_iccat
Algerie,DZA,flag_iccat_from_ncandcas,flag_iccat
Angola,AGO,flag_iccat_from_ncandcas,flag_iccat
Anguilla,AIA,flag_iccat_from_ncandcas,flag_iccat
Antigua and Barbuda,ATG,flag_iccat_from_ncandcas,flag_iccat
Argentina,ARG,flag_iccat_from_ncandcas,flag_iccat
Aruba,ABW,flag_iccat_from_ncandcas,flag_iccat
Australia,AUS,flag_iccat_from_ncandcas,flag_iccat
Bahamas,BHS,flag_iccat_from_ncandcas,flag_iccat
Barbados,BRB,flag_iccat_from_ncandcas,flag_iccat
Belarus,BLR,flag_iccat_from_ncandcas,flag_iccat
Belize,BLZ,flag_iccat_from_ncandcas,flag_iccat
Belize (foreign obs.),BLZ.Obs,flag_iccat_from_ncandcas,flag_iccat
Benin,BEN,flag_iccat_from_ncandcas,flag_iccat
Bolivia,BOL,flag_iccat_from_ncandcas,flag_iccat
Brazil,BRA,flag_iccat_from_ncandcas,flag_iccat
Cambodia,KHM,flag_iccat_from_ncandcas,flag_iccat
Cameroon,CMR,flag_iccat_from_ncandcas,flag_iccat
Canada,CAN,flag_iccat_from_ncandcas,flag_iccat
Cape Verde,CPV,flag_iccat_from_ncandcas,flag_iccat
Cayman Islands,CYM,flag_iccat_from_ncandcas,flag_iccat
Chile,CHL,flag_iccat_from_ncandcas,flag_iccat
China (ICCAT program),CHN.ICCAT,flag_iccat_from_ncandcas,flag_iccat
China PR,CHN,flag_iccat_from_ncandcas,flag_iccat
Chinese Taipei,TAI,flag_iccat_from_ncandcas,flag_iccat
Chinese Taipei (foreign obs.),TAI.Obs,flag_iccat_from_ncandcas,flag_iccat
Colombia,COL,flag_iccat_from_ncandcas,flag_iccat
Congo,COG,flag_iccat_from_ncandcas,flag_iccat
Cook Islands,COK,flag_iccat_from_ncandcas,flag_iccat
Costa Rica,CRI,flag_iccat_from_ncandcas,flag_iccat
Cuba,CUB,flag_iccat_from_ncandcas,flag_iccat
Cuba (ICCAT program),CUB.ICCAT,flag_iccat_from_ncandcas,flag_iccat
Curaçao,CUW,flag_iccat_from_ncandcas,flag_iccat
Côte D Ivoire,CIV,flag_iccat_from_ncandcas,flag_iccat
Côte d Ivoire,CIV,flag_iccat_from_ncandcas,flag_iccat
Côte d’Ivoire,CIV,flag_iccat_from_ncandcas,flag_iccat
Dominica,DMA,flag_iccat_from_ncandcas,flag_iccat
Dominican Republic,DOM,flag_iccat_from_ncandcas,flag_iccat
EU-others,EU,flag_iccat_from_ncandcas,flag_iccat
EU.Belgium,EU.BEL,flag_iccat_from_ncandcas,flag_iccat
EU.Bulgaria,EU.BGR,flag_iccat_from_ncandcas,flag_iccat
EU.Croatia,EU.HRV,flag_iccat_from_ncandcas,flag_iccat
EU.Cyprus,EU.CYP,flag_iccat_from_ncandcas,flag_iccat
EU.Denmark,EU.DNK,flag_iccat_from_ncandcas,flag_iccat
EU.España,EU.ESP,flag_iccat_from_ncandcas,flag_iccat
EU.Estonia,EU.EST,flag_iccat_from_ncandcas,flag_iccat
EU.France,EU.FRA,flag_iccat_from_ncandcas,flag_iccat
EU.Germany,EU.DEU,flag_iccat_from_ncandcas,flag_iccat
EU.Greece,EU.GRC,flag_iccat_from_ncandcas,flag_iccat
EU.Ireland,EU.IRL,flag_iccat_from_ncandcas,flag_iccat
EU.Italy,EU.ITA,flag_iccat_from_ncandcas,flag_iccat
EU.Latvia,EU.LVA,flag_iccat_from_ncandcas,flag_iccat
EU.Lithuania,EU.LTU,flag_iccat_from_ncandcas,flag_iccat
EU.Malta,EU.MLT,flag_iccat_from_ncandcas,flag_iccat
EU.Netherlands,EU.NLD,flag_iccat_from_ncandcas,flag_iccat
EU.Poland,EU.POL,flag_iccat_from_ncandcas,flag_iccat
EU.Portugal,EU.PRT,flag_iccat_from_ncandcas,flag_iccat
EU.Rumania,EU.ROU,flag_iccat_from_ncandcas,flag_iccat
EU.Slovenia,EU.SVN,flag_iccat_from_ncandcas,flag_iccat
EU.Sweden,EU.SWE,flag_iccat_from_ncandcas,flag_iccat
EU.United Kingdom,EU.UK,flag_iccat_from_ncandcas,flag_iccat
Ecuador,ECU,flag_iccat_from_ncandcas,flag_iccat
Egypt,EGY,flag_iccat_from_ncandcas,flag_iccat
El Salvador,SLV,flag_iccat_from_ncandcas,flag_iccat
FR.St Pierre et Miquelon,FR.SPM,flag_iccat_from_ncandcas,flag_iccat
Falklands,FLK,flag_iccat_from_ncandcas,flag_iccat
Faroe Islands,FRO,flag_iccat_from_ncandcas,flag_iccat
Fiji Islands,FJI,flag_iccat_from_ncandcas,flag_iccat
Gabon,GAB,flag_iccat_from_ncandcas,flag_iccat
Gambia,GMB,flag_iccat_from_ncandcas,flag_iccat
Georgia,GEO,flag_iccat_from_ncandcas,flag_iccat
