src_code,trg_code,src_codingsystem,trg_codingsystem
BB,BB,gear_iccat,geargroup_iccat
BBALB,BB,gear_iccat,geargroup_iccat
BBF,BB,gear_iccat,geargroup_iccat
BBI,BB,gear_iccat,geargroup_iccat
BLL,LL,gear_iccat,geargroup_iccat
GILD,GN,gear_iccat,geargroup_iccat
GILL,GN,gear_iccat,geargroup_iccat
GILLALB,GN,gear_iccat,geargroup_iccat
GILLM,GN,gear_iccat,geargroup_iccat
GILLSWO,GN,gear_iccat,geargroup_iccat
HAND,HL,gear_iccat,geargroup_iccat
HARP,HP,gear_iccat,geargroup_iccat
HARPE,HP,gear_iccat,geargroup_iccat
HP-E,HP,gear_iccat,geargroup_iccat
HS,HS,gear_iccat,geargroup_iccat
LL,LL,gear_iccat,geargroup_iccat
LL-B,LL,gear_iccat,geargroup_iccat
LL-Shrk,LL,gear_iccat,geargroup_iccat
LL-deri,LL,gear_iccat,geargroup_iccat
LL-surf,LL,gear_iccat,geargroup_iccat
LLALB,LL,gear_iccat,geargroup_iccat
LLBFT,LL,gear_iccat,geargroup_iccat
LLD,LL,gear_iccat,geargroup_iccat
LLFB,LL,gear_iccat,geargroup_iccat
LLHB,LL,gear_iccat,geargroup_iccat
LLJAP,LL,gear_iccat,geargroup_iccat
LLMB,LL,gear_iccat,geargroup_iccat
LLPB,LL,gear_iccat,geargroup_iccat
LLSWO,LL,gear_iccat,geargroup_iccat
MWT,TW,gear_iccat,geargroup_iccat
MWTD,TW,gear_iccat,geargroup_iccat
OTH,UN,gear_iccat,geargroup_iccat
PS,PS,gear_iccat,geargroup_iccat
PSD,PS,gear_iccat,geargroup_iccat
PSFB,PS,gear_iccat,geargroup_iccat
PSFS,PS,gear_iccat,geargroup_iccat
PSG,PS,gear_iccat,geargroup_iccat
PSLB,PS,gear_iccat,geargroup_iccat
PSM,PS,gear_iccat,geargroup_iccat
PSS,PS,gear_iccat,geargroup_iccat
RR,RR,gear_iccat,geargroup_iccat
RRD,RR,gear_iccat,geargroup_iccat
RRFB,RR,gear_iccat,geargroup_iccat
RRFS,RR,gear_iccat,geargroup_iccat
RRSD,RR,gear_iccat,geargroup_iccat
SPHL,SP,gear_iccat,geargroup_iccat
SPOR,SP,gear_iccat,geargroup_iccat
SURF,SU,gear_iccat,geargroup_iccat
TL,TL,gear_iccat,geargroup_iccat
TLD,TL,gear_iccat,geargroup_iccat
TN,TN,gear_iccat,geargroup_iccat
TRAP,TP,gear_iccat,geargroup_iccat
TRAP-S,TP,gear_iccat,geargroup_iccat
TRAPM,TP,gear_iccat,geargroup_iccat
TRAW,TW,gear_iccat,geargroup_iccat
TRAWP,TW,gear_iccat,geargroup_iccat
TRAWPP,TW,gear_iccat,geargroup_iccat
TROL,TR,gear_iccat,geargroup_iccat
UNCD,UN,gear_iccat,geargroup_iccat
UNCL,UN,gear_iccat,geargroup_iccat
TRAWB,TW,gear_iccat,geargroup_iccat
