"src_code","trg_code","src_codingsystem","trg_codingsystem"
"BB","BB","gear_iccat","geargroup_tunaatlas"
"BBALB","BB","gear_iccat","geargroup_tunaatlas"
"BBF","BB","gear_iccat","geargroup_tunaatlas"
"BBI","BB","gear_iccat","geargroup_tunaatlas"
"BLL","LL","gear_iccat","geargroup_tunaatlas"
"GILD","OTHER","gear_iccat","geargroup_tunaatlas"
"GILL","OTHER","gear_iccat","geargroup_tunaatlas"
"GILLALB","OTHER","gear_iccat","geargroup_tunaatlas"
"GILLM","OTHER","gear_iccat","geargroup_tunaatlas"
"GILLSWO","OTHER","gear_iccat","geargroup_tunaatlas"
"HAND","OTHER","gear_iccat","geargroup_tunaatlas"
"HARP","OTHER","gear_iccat","geargroup_tunaatlas"
"HARPE","OTHER","gear_iccat","geargroup_tunaatlas"
"HP-E","OTHER","gear_iccat","geargroup_tunaatlas"
"HS","OTHER","gear_iccat","geargroup_tunaatlas"
"LL","LL","gear_iccat","geargroup_tunaatlas"
"LL-B","LL","gear_iccat","geargroup_tunaatlas"
"LL-Shrk","LL","gear_iccat","geargroup_tunaatlas"
"LL-deri","LL","gear_iccat","geargroup_tunaatlas"
"LL-surf","LL","gear_iccat","geargroup_tunaatlas"
"LLALB","LL","gear_iccat","geargroup_tunaatlas"
"LLBFT","LL","gear_iccat","geargroup_tunaatlas"
"LLD","LL","gear_iccat","geargroup_tunaatlas"
"LLFB","LL","gear_iccat","geargroup_tunaatlas"
"LLHB","LL","gear_iccat","geargroup_tunaatlas"
"LLJAP","LL","gear_iccat","geargroup_tunaatlas"
"LLMB","LL","gear_iccat","geargroup_tunaatlas"
"LLPB","LL","gear_iccat","geargroup_tunaatlas"
"LLSWO","LL","gear_iccat","geargroup_tunaatlas"
"MWT","OTHER","gear_iccat","geargroup_tunaatlas"
"MWTD","OTHER","gear_iccat","geargroup_tunaatlas"
"OTH","OTHER","gear_iccat","geargroup_tunaatlas"
"PS","PS","gear_iccat","geargroup_tunaatlas"
"PSD","PS","gear_iccat","geargroup_tunaatlas"
"PSFB","PS","gear_iccat","geargroup_tunaatlas"
"PSFS","PS","gear_iccat","geargroup_tunaatlas"
"PSG","PS","gear_iccat","geargroup_tunaatlas"
"PSLB","PS","gear_iccat","geargroup_tunaatlas"
"PSM","PS","gear_iccat","geargroup_tunaatlas"
"PSS","PS","gear_iccat","geargroup_tunaatlas"
"RR","OTHER","gear_iccat","geargroup_tunaatlas"
"RRD","OTHER","gear_iccat","geargroup_tunaatlas"
"RRFB","OTHER","gear_iccat","geargroup_tunaatlas"
"RRFS","OTHER","gear_iccat","geargroup_tunaatlas"
"RRSD","OTHER","gear_iccat","geargroup_tunaatlas"
"SPHL","OTHER","gear_iccat","geargroup_tunaatlas"
"SPOR","OTHER","gear_iccat","geargroup_tunaatlas"
"SURF","OTHER","gear_iccat","geargroup_tunaatlas"
"TL","OTHER","gear_iccat","geargroup_tunaatlas"
"TLD","OTHER","gear_iccat","geargroup_tunaatlas"
"TN","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAP","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAP-S","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAPM","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAW","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAWP","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAWPP","OTHER","gear_iccat","geargroup_tunaatlas"
"TRBD","OTHER","gear_iccat","geargroup_tunaatlas"
"TROL","OTHER","gear_iccat","geargroup_tunaatlas"
"UNCD","OTHER","gear_iccat","geargroup_tunaatlas"
"UNCL","OTHER","gear_iccat","geargroup_tunaatlas"
"TRAWB","OTHER","gear_iccat","geargroup_tunaatlas"
