src_code,trg_code,src_codingsystem,trg_codingsystem
AGN,SHK,species_iccat,speciesgroup_tunaatlas
ALB,TUNTEMP,species_iccat,speciesgroup_tunaatlas
ALM,BOFOT,species_iccat,speciesgroup_tunaatlas
ALS,SHK,species_iccat,speciesgroup_tunaatlas
ALV,SHK,species_iccat,speciesgroup_tunaatlas
AMB,BOFOT,species_iccat,speciesgroup_tunaatlas
AMX,BOFOT,species_iccat,speciesgroup_tunaatlas
API,SHK,species_iccat,speciesgroup_tunaatlas
ASK,SHK,species_iccat,speciesgroup_tunaatlas
ASM,SPMA,species_iccat,speciesgroup_tunaatlas
BAU,BONMACK,species_iccat,speciesgroup_tunaatlas
BBM,SPMA,species_iccat,speciesgroup_tunaatlas
BEP,BONMACK,species_iccat,speciesgroup_tunaatlas
BET,TUNTROP,species_iccat,speciesgroup_tunaatlas
BFT,TUNTEMP,species_iccat,speciesgroup_tunaatlas
BIL,BILLFIS,species_iccat,speciesgroup_tunaatlas
BIP,BONMACK,species_iccat,speciesgroup_tunaatlas
BKJ,TUNTROP,species_iccat,speciesgroup_tunaatlas
BLF,TUNTROP,species_iccat,speciesgroup_tunaatlas
BLM,BILLFIS,species_iccat,speciesgroup_tunaatlas
BLR,SHK,species_iccat,speciesgroup_tunaatlas
BLT,TUNNER,species_iccat,speciesgroup_tunaatlas
BON,BONMACK,species_iccat,speciesgroup_tunaatlas
BOP,BONMACK,species_iccat,speciesgroup_tunaatlas
BRO,SHK,species_iccat,speciesgroup_tunaatlas
BRS,SPMA,species_iccat,speciesgroup_tunaatlas
BSF,BOFOT,species_iccat,speciesgroup_tunaatlas
BSH,SHK,species_iccat,speciesgroup_tunaatlas
BSK,SHK,species_iccat,speciesgroup_tunaatlas
BTH,SHK,species_iccat,speciesgroup_tunaatlas
BUK,SCOOT,species_iccat,speciesgroup_tunaatlas
BUM,BILLFIS,species_iccat,speciesgroup_tunaatlas
CCA,SHK,species_iccat,speciesgroup_tunaatlas
CCB,SHK,species_iccat,speciesgroup_tunaatlas
CCE,SHK,species_iccat,speciesgroup_tunaatlas
