"src_code","trg_code","src_codingsystem","trg_codingsystem"
"BOATS","BOATS","effortunit_iotc","effortunit_rfmos"
"DAYS","DAYS","effortunit_iotc","effortunit_rfmos"
"FDAYS","FDAYS","effortunit_iotc","effortunit_rfmos"
"FHOURS","FHOURS","effortunit_iotc","effortunit_rfmos"
"HOOKS","HOOKS","effortunit_iotc","effortunit_rfmos"
"HOURS","HOURS","effortunit_iotc","effortunit_rfmos"
"HRSRH","HRSRH","effortunit_iotc","effortunit_rfmos"
"LINES","LINES","effortunit_iotc","effortunit_rfmos"
"MD","MD","effortunit_iotc","effortunit_rfmos"
"NETS","NETS","effortunit_iotc","effortunit_rfmos"
"SETS","SETS","effortunit_iotc","effortunit_rfmos"
"STDHR","STDHR","effortunit_iotc","effortunit_rfmos"
"TRIPS","TRIPS","effortunit_iotc","effortunit_rfmos"
