src_code,trg_code,src_codingsystem,trg_codingsystem
ARE,ARE,flag_iotc,flag_fao_cwp
AUS,AUS,flag_iotc,flag_fao_cwp
BGD,BGD,flag_iotc,flag_fao_cwp
BHR,BHR,flag_iotc,flag_fao_cwp
BLZ,BLZ,flag_iotc,flag_fao_cwp
CHN,CHN,flag_iotc,flag_fao_cwp
COM,COM,flag_iotc,flag_fao_cwp
DJI,DJI,flag_iotc,flag_fao_cwp
EGY,EGY,flag_iotc,flag_fao_cwp
ERI,ERI,flag_iotc,flag_fao_cwp
EUBGR,BGR,flag_iotc,flag_fao_cwp
EUDEU,DEU,flag_iotc,flag_fao_cwp
EUESP,ESP,flag_iotc,flag_fao_cwp
EUFRA,FRA,flag_iotc,flag_fao_cwp
EUGBR,GBR,flag_iotc,flag_fao_cwp
EUITA,ITA,flag_iotc,flag_fao_cwp
EUMYT,MYT,flag_iotc,flag_fao_cwp
EUPRT,PRT,flag_iotc,flag_fao_cwp
EUREU,REU,flag_iotc,flag_fao_cwp
GBRT,GBR,flag_iotc,flag_fao_cwp
GIN,GIN,flag_iotc,flag_fao_cwp
IDN,IDN,flag_iotc,flag_fao_cwp
IND,IND,flag_iotc,flag_fao_cwp
IRN,IRN,flag_iotc,flag_fao_cwp
ISR,ISR,flag_iotc,flag_fao_cwp
JOR,JOR,flag_iotc,flag_fao_cwp
JPN,JPN,flag_iotc,flag_fao_cwp
KEN,KEN,flag_iotc,flag_fao_cwp
KOR,KOR,flag_iotc,flag_fao_cwp
KWT,KWT,flag_iotc,flag_fao_cwp
LKA,LKA,flag_iotc,flag_fao_cwp
MDG,MDG,flag_iotc,flag_fao_cwp
MDV,MDV,flag_iotc,flag_fao_cwp
MMR,MMR,flag_iotc,flag_fao_cwp
MOZ,MOZ,flag_iotc,flag_fao_cwp
MUS,MUS,flag_iotc,flag_fao_cwp
MYS,MYS,flag_iotc,flag_fao_cwp
NEICE,NEI,flag_iotc,flag_fao_cwp
NEIDN,NEI,flag_iotc,flag_fao_cwp
NEIFR,NEI,flag_iotc,flag_fao_cwp
NEIPS,NEI,flag_iotc,flag_fao_cwp
NEISU,NEI,flag_iotc,flag_fao_cwp
OMN,OMN,flag_iotc,flag_fao_cwp
PAK,PAK,flag_iotc,flag_fao_cwp
PHL,PHL,flag_iotc,flag_fao_cwp
QAT,QAT,flag_iotc,flag_fao_cwp
SAU,SAU,flag_iotc,flag_fao_cwp
SDN,SDN,flag_iotc,flag_fao_cwp
SEN,SEN,flag_iotc,flag_fao_cwp
SUN,SUN,flag_iotc,flag_fao_cwp
SYC,SYC,flag_iotc,flag_fao_cwp
THA,THA,flag_iotc,flag_fao_cwp
TMP,NEI,flag_iotc,flag_fao_cwp
TWN,TWN,flag_iotc,flag_fao_cwp
TZA,TZA,flag_iotc,flag_fao_cwp
VUT,VUT,flag_iotc,flag_fao_cwp
YEM,YEM,flag_iotc,flag_fao_cwp
ZAF,ZAF,flag_iotc,flag_fao_cwp
