src_code,trg_code,src_codingsystem,trg_codingsystem
BB,Baitboat,gear_iotc,geargroup_iotc
BBM,Baitboat,gear_iotc,geargroup_iotc
BBN,Baitboat,gear_iotc,geargroup_iotc
BBPS,Baitboat,gear_iotc,geargroup_iotc
BS,Other,gear_iotc,geargroup_iotc
CN,Other,gear_iotc,geargroup_iotc
DDSEI,Other,gear_iotc,geargroup_iotc
DSEI,Other,gear_iotc,geargroup_iotc
ELL,Longline,gear_iotc,geargroup_iotc
FLL,Longline,gear_iotc,geargroup_iotc
FN,Other,gear_iotc,geargroup_iotc
G/L,Gillnet,gear_iotc,geargroup_iotc
GIHA,Gillnet,gear_iotc,geargroup_iotc
GIHT,Gillnet,gear_iotc,geargroup_iotc
GILL,Gillnet,gear_iotc,geargroup_iotc
GIOF,Gillnet,gear_iotc,geargroup_iotc
GL,Gillnet,gear_iotc,geargroup_iotc
HAND,Line,gear_iotc,geargroup_iotc
HATR,Line,gear_iotc,geargroup_iotc
HOOK,Line,gear_iotc,geargroup_iotc
LG,Longline,gear_iotc,geargroup_iotc
LIFT,Other,gear_iotc,geargroup_iotc
LINE,Line,gear_iotc,geargroup_iotc
LL,Longline,gear_iotc,geargroup_iotc
LLCO,Line,gear_iotc,geargroup_iotc
LLEX,Longline,gear_iotc,geargroup_iotc
LLTR,Longline,gear_iotc,geargroup_iotc
OTHER,Other,gear_iotc,geargroup_iotc
PS,Purse_Seine,gear_iotc,geargroup_iotc
PSS,Purse_Seine,gear_iotc,geargroup_iotc
RIN,Purse_Seine,gear_iotc,geargroup_iotc
SLL,Longline,gear_iotc,geargroup_iotc
SPOR,Line,gear_iotc,geargroup_iotc
TRAP,Other,gear_iotc,geargroup_iotc
TRAW,Other,gear_iotc,geargroup_iotc
TROL,Line,gear_iotc,geargroup_iotc
TROLM,Line,gear_iotc,geargroup_iotc
TROLN,Line,gear_iotc,geargroup_iotc
UNCL,Other,gear_iotc,geargroup_iotc
HABBTR,Line,gear_iotc,geargroup_iotc
HLOF,Line,gear_iotc,geargroup_iotc
RNOF,Purse_Seine,gear_iotc,geargroup_iotc
RRBB,Baitboat,gear_iotc,geargroup_iotc
HARP,Other,gear_iotc,geargroup_iotc
DL,Line,gear_iotc,geargroup_iotc
BBOF,Baitboat,gear_iotc,geargroup_iotc
