src_code,trg_code,src_codingsystem,trg_codingsystem
BB,BB,gear_iotc,geargroup_tunaatlas
BBM,BB,gear_iotc,geargroup_tunaatlas
BBN,BB,gear_iotc,geargroup_tunaatlas
BBPS,BB,gear_iotc,geargroup_tunaatlas
BS,OTHER,gear_iotc,geargroup_tunaatlas
CN,OTHER,gear_iotc,geargroup_tunaatlas
DDSEI,OTHER,gear_iotc,geargroup_tunaatlas
DSEI,OTHER,gear_iotc,geargroup_tunaatlas
ELL,LL,gear_iotc,geargroup_tunaatlas
FLL,LL,gear_iotc,geargroup_tunaatlas
FN,OTHER,gear_iotc,geargroup_tunaatlas
G/L,OTHER,gear_iotc,geargroup_tunaatlas
GIHA,OTHER,gear_iotc,geargroup_tunaatlas
GIHT,OTHER,gear_iotc,geargroup_tunaatlas
GILL,OTHER,gear_iotc,geargroup_tunaatlas
GIOF,OTHER,gear_iotc,geargroup_tunaatlas
GL,OTHER,gear_iotc,geargroup_tunaatlas
HAND,OTHER,gear_iotc,geargroup_tunaatlas
HATR,OTHER,gear_iotc,geargroup_tunaatlas
HOOK,OTHER,gear_iotc,geargroup_tunaatlas
LG,OTHER,gear_iotc,geargroup_tunaatlas
LIFT,OTHER,gear_iotc,geargroup_tunaatlas
LINE,OTHER,gear_iotc,geargroup_tunaatlas
LL,LL,gear_iotc,geargroup_tunaatlas
LLCO,OTHER,gear_iotc,geargroup_tunaatlas
LLEX,LL,gear_iotc,geargroup_tunaatlas
LLOB,LL,gear_iotc,geargroup_tunaatlas
LLTR,OTHER,gear_iotc,geargroup_tunaatlas
OTHER,OTHER,gear_iotc,geargroup_tunaatlas
PS,PS,gear_iotc,geargroup_tunaatlas
PSS,PS,gear_iotc,geargroup_tunaatlas
RIN,OTHER,gear_iotc,geargroup_tunaatlas
SLL,LL,gear_iotc,geargroup_tunaatlas
SPOR,OTHER,gear_iotc,geargroup_tunaatlas
TRAP,OTHER,gear_iotc,geargroup_tunaatlas
TRAW,OTHER,gear_iotc,geargroup_tunaatlas
TROL,OTHER,gear_iotc,geargroup_tunaatlas
TROLM,OTHER,gear_iotc,geargroup_tunaatlas
TROLN,OTHER,gear_iotc,geargroup_tunaatlas
UNCL,OTHER,gear_iotc,geargroup_tunaatlas
HABBTR,OTHER,gear_iotc,geargroup_tunaatlas
HLOF,OTHER,gear_iotc,geargroup_tunaatlas
RNOF,OTHER,gear_iotc,geargroup_tunaatlas
RRBB,OTHER,gear_iotc,geargroup_tunaatlas
HARP,OTHER,gear_iotc,geargroup_tunaatlas
DL,OTHER,gear_iotc,geargroup_tunaatlas
BBOF,BB,gear_iotc,geargroup_tunaatlas
