src_code,trg_code,src_codingsystem,trg_codingsystem
AGN,SHK,species_iotc,speciesgroup_tunaatlas
ALB,TUNTEMP,species_iotc,speciesgroup_tunaatlas
ALI,BOFOT,species_iotc,speciesgroup_tunaatlas
ALS,SHK,species_iotc,speciesgroup_tunaatlas
ALV,SHK,species_iotc,speciesgroup_tunaatlas
AMB,BOFOT,species_iotc,speciesgroup_tunaatlas
AML,SHK,species_iotc,speciesgroup_tunaatlas
AMX,BOFOT,species_iotc,speciesgroup_tunaatlas
ASM,SPMA,species_iotc,speciesgroup_tunaatlas
AYBT,TUNTROP,species_iotc,speciesgroup_tunaatlas
BAR,BOFOT,species_iotc,speciesgroup_tunaatlas
BAU,BONMACK,species_iotc,speciesgroup_tunaatlas
BBM,SPMA,species_iotc,speciesgroup_tunaatlas
BET,TUNTROP,species_iotc,speciesgroup_tunaatlas
BFT,TUNTEMP,species_iotc,speciesgroup_tunaatlas
BIL,BILLFIS,species_iotc,speciesgroup_tunaatlas
BILL,BILLFIS,species_iotc,speciesgroup_tunaatlas
BIP,BONMACK,species_iotc,speciesgroup_tunaatlas
BIS,BOFOT,species_iotc,speciesgroup_tunaatlas
BLM,BILLFIS,species_iotc,speciesgroup_tunaatlas
BLR,SHK,species_iotc,speciesgroup_tunaatlas
BLT,TUNNER,species_iotc,speciesgroup_tunaatlas
BRA,BOFOT,species_iotc,speciesgroup_tunaatlas
BRO,SHK,species_iotc,speciesgroup_tunaatlas
BSH,SHK,species_iotc,speciesgroup_tunaatlas
BTH,SHK,species_iotc,speciesgroup_tunaatlas
BUK,SCOOT,species_iotc,speciesgroup_tunaatlas
BUM,BILLFIS,species_iotc,speciesgroup_tunaatlas
BVV,BOFOT,species_iotc,speciesgroup_tunaatlas
BXQ,BILLFIS,species_iotc,speciesgroup_tunaatlas
CCB,SHK,species_iotc,speciesgroup_tunaatlas
CCD,SHK,species_iotc,speciesgroup_tunaatlas
CCE,SHK,species_iotc,speciesgroup_tunaatlas
CCG,SHK,species_iotc,speciesgroup_tunaatlas
CCL,SHK,species_iotc,speciesgroup_tunaatlas
CCM,SHK,species_iotc,speciesgroup_tunaatlas
CCP,SHK,species_iotc,speciesgroup_tunaatlas
CCQ,SHK,species_iotc,speciesgroup_tunaatlas
CCY,SHK,species_iotc,speciesgroup_tunaatlas
CFW,BOFOT,species_iotc,speciesgroup_tunaatlas
CLD,SHK,species_iotc,speciesgroup_tunaatlas
COM,SPMA,species_iotc,speciesgroup_tunaatlas
CWZ,SHK,species_iotc,speciesgroup_tunaatlas
CXS,BOFOT,species_iotc,speciesgroup_tunaatlas
DGZ,SHK,species_iotc,speciesgroup_tunaatlas
DOB,BOFOT,species_iotc,speciesgroup_tunaatlas
DOL,BOFOT,species_iotc,speciesgroup_tunaatlas
DOT,SCOOT,species_iotc,speciesgroup_tunaatlas
DOX,BOFOT,species_iotc,speciesgroup_tunaatlas
DUS,SHK,species_iotc,speciesgroup_tunaatlas
EAG,RAYS,species_iotc,speciesgroup_tunaatlas
EJA,CEPHALO,species_iotc,speciesgroup_tunaatlas
ESCL,SCOOT,species_iotc,speciesgroup_tunaatlas
FAL,SHK,species_iotc,speciesgroup_tunaatlas
FLY,BOFOT,species_iotc,speciesgroup_tunaatlas
FRI,TUNNER,species_iotc,speciesgroup_tunaatlas
