src_code,trg_code,src_codingsystem,trg_codingsystem
AS,ASM,flag_wcpfc,flag_fao_cwp
AU,AUS,flag_wcpfc,flag_fao_cwp
BZ,BLZ,flag_wcpfc,flag_fao_cwp
CA,CAN,flag_wcpfc,flag_fao_cwp
CK,COK,flag_wcpfc,flag_fao_cwp
CN,CHN,flag_wcpfc,flag_fao_cwp
EC,ECU,flag_wcpfc,flag_fao_cwp
EN,NEI,flag_wcpfc,flag_fao_cwp
EP,NEI,flag_wcpfc,flag_fao_cwp
ES,ESP,flag_wcpfc,flag_fao_cwp
FJ,FJI,flag_wcpfc,flag_fao_cwp
FM,FSM,flag_wcpfc,flag_fao_cwp
ID,IDN,flag_wcpfc,flag_fao_cwp
JP,JPN,flag_wcpfc,flag_fao_cwp
KI,KIR,flag_wcpfc,flag_fao_cwp
KR,KOR,flag_wcpfc,flag_fao_cwp
MH,MHL,flag_wcpfc,flag_fao_cwp
MP,MNP,flag_wcpfc,flag_fao_cwp
MX,MEX,flag_wcpfc,flag_fao_cwp
NC,NCL,flag_wcpfc,flag_fao_cwp
NR,NRU,flag_wcpfc,flag_fao_cwp
NU,NIU,flag_wcpfc,flag_fao_cwp
NZ,NZL,flag_wcpfc,flag_fao_cwp
PF,PYF,flag_wcpfc,flag_fao_cwp
PG,PNG,flag_wcpfc,flag_fao_cwp
PH,PHL,flag_wcpfc,flag_fao_cwp
PT,PRT,flag_wcpfc,flag_fao_cwp
PW,PLW,flag_wcpfc,flag_fao_cwp
RU,RUS,flag_wcpfc,flag_fao_cwp
SB,SLB,flag_wcpfc,flag_fao_cwp
SN,SEN,flag_wcpfc,flag_fao_cwp
SU,SUN,flag_wcpfc,flag_fao_cwp
SV,SLV,flag_wcpfc,flag_fao_cwp
TK,TKM,flag_wcpfc,flag_fao_cwp
TO,TON,flag_wcpfc,flag_fao_cwp
TV,TUV,flag_wcpfc,flag_fao_cwp
TW,TWN,flag_wcpfc,flag_fao_cwp
UNK,UNK,flag_wcpfc,flag_fao_cwp
US,USA,flag_wcpfc,flag_fao_cwp
VN,VNM,flag_wcpfc,flag_fao_cwp
VU,VUT,flag_wcpfc,flag_fao_cwp
WF,WLF,flag_wcpfc,flag_fao_cwp
WN,NEI,flag_wcpfc,flag_fao_cwp
WS,WSM,flag_wcpfc,flag_fao_cwp
XX,NEI,flag_wcpfc,flag_fao_cwp
