"src_code","trg_code","src_codingsystem","trg_codingsystem"
"D","OTHER","gear_wcpfc","geargroup_tunaatlas"
"G","OTHER","gear_wcpfc","geargroup_tunaatlas"
"H","OTHER","gear_wcpfc","geargroup_tunaatlas"
"K","OTHER","gear_wcpfc","geargroup_tunaatlas"
"L","LL","gear_wcpfc","geargroup_tunaatlas"
"O","OTHER","gear_wcpfc","geargroup_tunaatlas"
"P","BB","gear_wcpfc","geargroup_tunaatlas"
"R","OTHER","gear_wcpfc","geargroup_tunaatlas"
"S","PS","gear_wcpfc","geargroup_tunaatlas"
"T","OTHER","gear_wcpfc","geargroup_tunaatlas"
