"src_code","trg_code","src_codingsystem","trg_codingsystem"
"ALB","TUNTEMP","species_wcpfc","speciesgroup_tunaatlas"
"BET","TUNTROP","species_wcpfc","speciesgroup_tunaatlas"
"BLM","BILLFIS","species_wcpfc","speciesgroup_tunaatlas"
"BUM","BILLFIS","species_wcpfc","speciesgroup_tunaatlas"
"FAL","SHK","species_wcpfc","speciesgroup_tunaatlas"
"HAM","SHK","species_wcpfc","speciesgroup_tunaatlas"
"MAK","SHK","species_wcpfc","speciesgroup_tunaatlas"
"MLS","BILLFIS","species_wcpfc","speciesgroup_tunaatlas"
"OCS","SHK","species_wcpfc","speciesgroup_tunaatlas"
"OTH","TUNOTH","species_wcpfc","speciesgroup_tunaatlas"
"PBF","TUNTEMP","species_wcpfc","speciesgroup_tunaatlas"
"POR","SHK","species_wcpfc","speciesgroup_tunaatlas"
"SKJ","TUNTROP","species_wcpfc","speciesgroup_tunaatlas"
"SWO","BILLFIS","species_wcpfc","speciesgroup_tunaatlas"
"THR","SHK","species_wcpfc","speciesgroup_tunaatlas"
"TUN","SCOOT","species_wcpfc","speciesgroup_tunaatlas"
"YFT","TUNTROP","species_wcpfc","speciesgroup_tunaatlas"
