src_code,trg_code,src_codingsystem,trg_codingsystem
AL31,ALB-N,iccat_sampling_areas,iccat_stocks
AL32,ALB-N,iccat_sampling_areas,iccat_stocks
AL33,ALB-S,iccat_sampling_areas,iccat_stocks
AL34,ALB-S,iccat_sampling_areas,iccat_stocks
AL35,ALB-M,iccat_sampling_areas,iccat_stocks
BE30,BET-A,iccat_sampling_areas,iccat_stocks
BE40,BET-A,iccat_sampling_areas,iccat_stocks
BE20,BET-A,iccat_sampling_areas,iccat_stocks
BE02,BET-A,iccat_sampling_areas,iccat_stocks
BE03,BET-A,iccat_sampling_areas,iccat_stocks
BE01,BET-A,iccat_sampling_areas,iccat_stocks
BE04,BET-A,iccat_sampling_areas,iccat_stocks
BE08,BET-A,iccat_sampling_areas,iccat_stocks
BE05,BET-A,iccat_sampling_areas,iccat_stocks
BE06,BET-A,iccat_sampling_areas,iccat_stocks
BE10,BET-A,iccat_sampling_areas,iccat_stocks
BE09,BET-A,iccat_sampling_areas,iccat_stocks
BE07,BET-A,iccat_sampling_areas,iccat_stocks
SJ01,SKJ-E,iccat_sampling_areas,iccat_stocks
SJ02,SKJ-E,iccat_sampling_areas,iccat_stocks
SJ03,SKJ-E,iccat_sampling_areas,iccat_stocks
SJ09,SKJ-W,iccat_sampling_areas,iccat_stocks
SJ30,SKJ-W,iccat_sampling_areas,iccat_stocks
SJ40,SKJ-W,iccat_sampling_areas,iccat_stocks
SJ08,SKJ-W,iccat_sampling_areas,iccat_stocks
SJ05,SKJ-E,iccat_sampling_areas,iccat_stocks
SJ20,SKJ-E,iccat_sampling_areas,iccat_stocks
SJ04,SKJ-E,iccat_sampling_areas,iccat_stocks
SJ07,SKJ-W,iccat_sampling_areas,iccat_stocks
SJ06,SKJ-E,iccat_sampling_areas,iccat_stocks
YF30,YFT-W,iccat_sampling_areas,iccat_stocks
YF40,YFT-W,iccat_sampling_areas,iccat_stocks
YF20,YFT-E,iccat_sampling_areas,iccat_stocks
YF12,YFT-W,iccat_sampling_areas,iccat_stocks
YF13,YFT-W,iccat_sampling_areas,iccat_stocks
YF03,YFT-E,iccat_sampling_areas,iccat_stocks
YF04,YFT-E,iccat_sampling_areas,iccat_stocks
YF05,YFT-E,iccat_sampling_areas,iccat_stocks
YF02,YFT-E,iccat_sampling_areas,iccat_stocks
YF10,YFT-W,iccat_sampling_areas,iccat_stocks
YF09,YFT-W,iccat_sampling_areas,iccat_stocks
YF06,YFT-E,iccat_sampling_areas,iccat_stocks
YF11,YFT-W,iccat_sampling_areas,iccat_stocks
YF07,YFT-E,iccat_sampling_areas,iccat_stocks
YF01,YFT-E,iccat_sampling_areas,iccat_stocks
YF08,YFT-W,iccat_sampling_areas,iccat_stocks
BF54,NA,iccat_sampling_areas,iccat_stocks
BF53,NA,iccat_sampling_areas,iccat_stocks
BF58,NA,iccat_sampling_areas,iccat_stocks
BF57,NA,iccat_sampling_areas,iccat_stocks
BF62,NA,iccat_sampling_areas,iccat_stocks
BF65,NA,iccat_sampling_areas,iccat_stocks
BF66,NA,iccat_sampling_areas,iccat_stocks
BF68,NA,iccat_sampling_areas,iccat_stocks
BF64,NA,iccat_sampling_areas,iccat_stocks
BF61,NA,iccat_sampling_areas,iccat_stocks
BF67,NA,iccat_sampling_areas,iccat_stocks
BF55,NA,iccat_sampling_areas,iccat_stocks
BF56,NA,iccat_sampling_areas,iccat_stocks
BF51,NA,iccat_sampling_areas,iccat_stocks
BF50,NA,iccat_sampling_areas,iccat_stocks
BF52,NA,iccat_sampling_areas,iccat_stocks
BF59,NA,iccat_sampling_areas,iccat_stocks
BF60,NA,iccat_sampling_areas,iccat_stocks
BF63,NA,iccat_sampling_areas,iccat_stocks
BIL91,NA,iccat_sampling_areas,iccat_stocks
BIL92,NA,iccat_sampling_areas,iccat_stocks
BIL93,NA,iccat_sampling_areas,iccat_stocks
BIL95,NA,iccat_sampling_areas,iccat_stocks
BIL96,NA,iccat_sampling_areas,iccat_stocks
BIL97,NA,iccat_sampling_areas,iccat_stocks
BIL94A,NA,iccat_sampling_areas,iccat_stocks
BIL94B,NA,iccat_sampling_areas,iccat_stocks
BIL94C,NA,iccat_sampling_areas,iccat_stocks
