src_code,trg_code,src_codingsystem,trg_codingsystem
SLC,1,cl_species,cl_species_group
FFV,1,cl_species,cl_species_group
COO,1,cl_species,cl_species_group
YNA,1,cl_species,cl_species_group
SNC,1,cl_species,cl_species_group
SNL,1,cl_species,cl_species_group
WKK,1,cl_species,cl_species_group
YNV,1,cl_species,cl_species_group
PNU,1,cl_species,cl_species_group
SUD,2,cl_species,cl_species_group
CIO,2,cl_species,cl_species_group
OCS,3,cl_species,cl_species_group
RHN,3,cl_species,cl_species_group
FAL,3,cl_species,cl_species_group
BTH,3,cl_species,cl_species_group
SMA,3,cl_species,cl_species_group
POR,3,cl_species,cl_species_group
BSH,3,cl_species,cl_species_group
SPL,3,cl_species,cl_species_group
SPK,3,cl_species,cl_species_group
SPZ,3,cl_species,cl_species_group
SPQ,3,cl_species,cl_species_group
RHR,2,cl_species,cl_species_group
RHL,2,cl_species,cl_species_group
CCR,2,cl_species,cl_species_group
CTI,2,cl_species,cl_species_group
MTR,2,cl_species,cl_species_group
CCL,2,cl_species,cl_species_group
CCN,2,cl_species,cl_species_group
CTJ,2,cl_species,cl_species_group
TIG,2,cl_species,cl_species_group
CCP,2,cl_species,cl_species_group
CCE,2,cl_species,cl_species_group
N/A,2,cl_species,cl_species_group
RPP,2,cl_species,cl_species_group
RPM ? N/A,2,cl_species,cl_species_group
MAE,2,cl_species,cl_species_group
RDA ? N/A,2,cl_species,cl_species_group
TZB,2,cl_species,cl_species_group
BXD,2,cl_species,cl_species_group
BSF,2,cl_species,cl_species_group
EPI,2,cl_species,cl_species_group
WRF,2,cl_species,cl_species_group
ARS,2,cl_species,cl_species_group
RRS,2,cl_species,cl_species_group
NIS,2,cl_species,cl_species_group
MFI,2,cl_species,cl_species_group
GPX,2,cl_species,cl_species_group
SNA,2,cl_species,cl_species_group
RPU,2,cl_species,cl_species_group
HOF,2,cl_species,cl_species_group
MVJ,2,cl_species,cl_species_group
JOS,2,cl_species,cl_species_group
NTK,2,cl_species,cl_species_group
NFI,2,cl_species,cl_species_group
NFU,2,cl_species,cl_species_group
NFN,2,cl_species,cl_species_group
AVD,2,cl_species,cl_species_group
ANJ,2,cl_species,cl_species_group
SSH,2,cl_species,cl_species_group
CRR,2,cl_species,cl_species_group
ELQ,2,cl_species,cl_species_group
AVA,2,cl_species,cl_species_group
SAA,2,cl_species,cl_species_group
BSR,2,cl_species,cl_species_group
POM,2,cl_species,cl_species_group
LHT,2,cl_species,cl_species_group
LOB,2,cl_species,cl_species_group
GPR,2,cl_species,cl_species_group
GPN,1,cl_species,cl_species_group
MAB,2,cl_species,cl_species_group
EEU,2,cl_species,cl_species_group
EET,2,cl_species,cl_species_group
CFJ,2,cl_species,cl_species_group
CFL,2,cl_species,cl_species_group
EFD,2,cl_species,cl_species_group
MKT,2,cl_species,cl_species_group
MKV,2,cl_species,cl_species_group
EEY,2,cl_species,cl_species_group
EEL,2,cl_species,cl_species_group
MKN,2,cl_species,cl_species_group
HLI,2,cl_species,cl_species_group
HLU,2,cl_species,cl_species_group
HHI,2,cl_species,cl_species_group
CBD,2,cl_species,cl_species_group
CFE,2,cl_species,cl_species_group
JKQ,2,cl_species,cl_species_group
JIU,2,cl_species,cl_species_group
RUB,2,cl_species,cl_species_group
CVJ,2,cl_species,cl_species_group
LIJ,2,cl_species,cl_species_group
RRU,2,cl_species,cl_species_group
LJN,1,cl_species,cl_species_group
LJP,2,cl_species,cl_species_group
LJU,2,cl_species,cl_species_group
SNR,2,cl_species,cl_species_group
LJY,2,cl_species,cl_species_group
LJI,2,cl_species,cl_species_group
LJJ,2,cl_species,cl_species_group
LTJ,2,cl_species,cl_species_group
PQI,2,cl_species,cl_species_group
UPZ,2,cl_species,cl_species_group
SNY,2,cl_species,cl_species_group
ASX,2,cl_species,cl_species_group
EEO,2,cl_species,cl_species_group
USU,2,cl_species,cl_species_group
MWD,2,cl_species,cl_species_group
USN,2,cl_species,cl_species_group
UVT,2,cl_species,cl_species_group
QUF,2,cl_species,cl_species_group
QZV,2,cl_species,cl_species_group
RSY,2,cl_species,cl_species_group
QRV,2,cl_species,cl_species_group
RMF,2,cl_species,cl_species_group
USS,2,cl_species,cl_species_group
AQO,2,cl_species,cl_species_group
AQB,2,cl_species,cl_species_group
AQH,2,cl_species,cl_species_group
CZT,2,cl_species,cl_species_group
BLV,2,cl_species,cl_species_group
TRG,2,cl_species,cl_species_group
LCX,2,cl_species,cl_species_group
JJB,2,cl_species,cl_species_group
BDR,2,cl_species,cl_species_group
KGR,2,cl_species,cl_species_group
KHH,2,cl_species,cl_species_group
QPG,2,cl_species,cl_species_group
ABS,2,cl_species,cl_species_group
APS,2,cl_species,cl_species_group
SOP,2,cl_species,cl_species_group
PNT,2,cl_species,cl_species_group
PST,2,cl_species,cl_species_group
n/a,2,cl_species,cl_species_group
PNB,2,cl_species,cl_species_group
BOB,2,cl_species,cl_species_group
RSH,2,cl_species,cl_species_group
SLV,2,cl_species,cl_species_group
PEN,2,cl_species,cl_species_group
PEZ,2,cl_species,cl_species_group
WKX,2,cl_species,cl_species_group
SKH,2,cl_species,cl_species_group
IPV,2,cl_species,cl_species_group
PWT,2,cl_species,cl_species_group
FLY,2,cl_species,cl_species_group
YNE,2,cl_species,cl_species_group
DOL,2,cl_species,cl_species_group
WAH,2,cl_species,cl_species_group
n/a,2,cl_species,cl_species_group
SCC,2,cl_species,cl_species_group
RQZ,2,cl_species,cl_species_group
