src_code,trg_code,src_codingsystem,trg_codingsystem
SLC,1,cl_species,cl_species_subgroup
FFV,1,cl_species,cl_species_subgroup
COO,1,cl_species,cl_species_subgroup
YNA,1,cl_species,cl_species_subgroup
SNC,1,cl_species,cl_species_subgroup
SNL,1,cl_species,cl_species_subgroup
WKK,1,cl_species,cl_species_subgroup
YNV,1,cl_species,cl_species_subgroup
PNU,1,cl_species,cl_species_subgroup
SUD,2,cl_species,cl_species_subgroup
CIO,2,cl_species,cl_species_subgroup
OCS,5,cl_species,cl_species_subgroup
RHN,5,cl_species,cl_species_subgroup
FAL,5,cl_species,cl_species_subgroup
BTH,5,cl_species,cl_species_subgroup
SMA,5,cl_species,cl_species_subgroup
POR,5,cl_species,cl_species_subgroup
BSH,5,cl_species,cl_species_subgroup
SPL,5,cl_species,cl_species_subgroup
SPK,5,cl_species,cl_species_subgroup
SPZ,5,cl_species,cl_species_subgroup
SPQ,5,cl_species,cl_species_subgroup
RHR,2,cl_species,cl_species_subgroup
RHL,2,cl_species,cl_species_subgroup
CCR,2,cl_species,cl_species_subgroup
CTI,2,cl_species,cl_species_subgroup
MTR,2,cl_species,cl_species_subgroup
CCL,2,cl_species,cl_species_subgroup
CCN,2,cl_species,cl_species_subgroup
CTJ,2,cl_species,cl_species_subgroup
TIG,2,cl_species,cl_species_subgroup
CCP,2,cl_species,cl_species_subgroup
CCE,2,cl_species,cl_species_subgroup
N/A,2,cl_species,cl_species_subgroup
RPP,2,cl_species,cl_species_subgroup
RPM ? N/A,2,cl_species,cl_species_subgroup
MAE,2,cl_species,cl_species_subgroup
RDA ? N/A,2,cl_species,cl_species_subgroup
TZB,2,cl_species,cl_species_subgroup
BXD,3,cl_species,cl_species_subgroup
BSF,3,cl_species,cl_species_subgroup
EPI,3,cl_species,cl_species_subgroup
WRF,3,cl_species,cl_species_subgroup
ARS,3,cl_species,cl_species_subgroup
RRS,3,cl_species,cl_species_subgroup
NIS,3,cl_species,cl_species_subgroup
MFI,3,cl_species,cl_species_subgroup
GPX,3,cl_species,cl_species_subgroup
SNA,3,cl_species,cl_species_subgroup
RPU,3,cl_species,cl_species_subgroup
HOF,3,cl_species,cl_species_subgroup
MVJ,3,cl_species,cl_species_subgroup
JOS,3,cl_species,cl_species_subgroup
NTK,3,cl_species,cl_species_subgroup
NFI,3,cl_species,cl_species_subgroup
NFU,3,cl_species,cl_species_subgroup
NFN,3,cl_species,cl_species_subgroup
AVD,3,cl_species,cl_species_subgroup
ANJ,3,cl_species,cl_species_subgroup
SSH,3,cl_species,cl_species_subgroup
CRR,3,cl_species,cl_species_subgroup
ELQ,3,cl_species,cl_species_subgroup
AVA,4,cl_species,cl_species_subgroup
SAA,4,cl_species,cl_species_subgroup
BSR,4,cl_species,cl_species_subgroup
POM,4,cl_species,cl_species_subgroup
LHT,4,cl_species,cl_species_subgroup
LOB,4,cl_species,cl_species_subgroup
GPR,4,cl_species,cl_species_subgroup
GPN,1,cl_species,cl_species_subgroup
MAB,4,cl_species,cl_species_subgroup
EEU,4,cl_species,cl_species_subgroup
EET,4,cl_species,cl_species_subgroup
CFJ,4,cl_species,cl_species_subgroup
CFL,4,cl_species,cl_species_subgroup
EFD,4,cl_species,cl_species_subgroup
MKT,4,cl_species,cl_species_subgroup
MKV,4,cl_species,cl_species_subgroup
EEY,4,cl_species,cl_species_subgroup
EEL,4,cl_species,cl_species_subgroup
MKN,4,cl_species,cl_species_subgroup
HLI,4,cl_species,cl_species_subgroup
HLU,4,cl_species,cl_species_subgroup
HHI,4,cl_species,cl_species_subgroup
CBD,4,cl_species,cl_species_subgroup
CFE,4,cl_species,cl_species_subgroup
JKQ,4,cl_species,cl_species_subgroup
JIU,4,cl_species,cl_species_subgroup
RUB,4,cl_species,cl_species_subgroup
CVJ,4,cl_species,cl_species_subgroup
LIJ,4,cl_species,cl_species_subgroup
RRU,4,cl_species,cl_species_subgroup
LJN,1,cl_species,cl_species_subgroup
LJP,4,cl_species,cl_species_subgroup
LJU,4,cl_species,cl_species_subgroup
SNR,4,cl_species,cl_species_subgroup
LJY,4,cl_species,cl_species_subgroup
LJI,4,cl_species,cl_species_subgroup
LJJ,4,cl_species,cl_species_subgroup
LTJ,4,cl_species,cl_species_subgroup
PQI,4,cl_species,cl_species_subgroup
UPZ,4,cl_species,cl_species_subgroup
SNY,4,cl_species,cl_species_subgroup
ASX,4,cl_species,cl_species_subgroup
EEO,4,cl_species,cl_species_subgroup
USU,4,cl_species,cl_species_subgroup
